host,reachable,baseline_vm_count,vCPU_vm_count,vMemory_vm_count,vNetwork_vm_count,vDisk_vm_count,missing_vCPU,missing_vMemory,missing_vNetwork,final_status,top_error
S-HYP-01,True,6,6,6,6,6,0,0,0,Inventory OK,
S-HYP-02,True,0,0,0,0,0,0,0,0,Inventory Empty,baseline_empty
S-HYP-03,True,0,0,0,0,0,0,0,0,Inventory Empty,baseline_empty
S-HYP-04,True,0,0,0,0,0,0,0,0,Inventory Empty,baseline_empty
T-HYP-01,True,22,22,22,22,22,0,0,0,Inventory OK,
T-HYP-02,True,18,18,18,18,18,0,0,0,Inventory OK,
T-HYP-03,True,6,6,6,6,6,0,0,0,Inventory OK,
P-HYP-01,True,25,25,25,25,25,0,0,0,Inventory OK,
P-HYP-02,True,28,28,28,28,28,0,0,0,Inventory OK,
P-HYP-03,True,23,23,23,23,23,0,0,0,Inventory OK,
P-HYP-04,True,14,14,14,14,14,0,0,0,Inventory OK,
P-HYP-05,True,28,28,28,28,28,0,0,0,Inventory OK,
