VM,Powerstate,Template,SRM Placeholder,Disk,Disk Key,Disk UUID,Disk Path,Capacity MiB,Raw,Disk Mode,Sharing mode,Thin,Eagerly Scrub,Split,Write Through,Level,Shares,Reservation,Limit,Controller,Label,SCSI Unit #,Unit #,Shared Bus,Path,Raw LUN ID,Raw Comp. Mode,Internal Sort Column,Annotation,Backup status,ClusterInvariantVMMId,Last backup,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VI SDK Server,VI SDK UUID
S3-P-AD-DS-UIO-01,Running,,,P-AD-DS-UIO-01_EF2120AF-90B9-44BB-9055-6E1D0212CA13.avhdx,,,C:\ClusterStorage\FS1-S-HYP-VM-01\P-AD-DS-UIO-01\P-AD-DS-UIO-01_EF2120AF-90B9-44BB-9055-6E1D0212CA13.avhdx,102400,,,,,,,,,,,,SCSI 0,,0,0,,,,,,,,,,,S-HYP-CLTR-01,S-HYP-01,,,,310e728b-a3ad-4b60-8bb0-9266ce968481,,,
S3-P-AD-DS-03,Running,,,P-AD-DS-03_1_81E00E8B-74BE-4D14-809D-34F8CCD716F2_713FFA16-E265-4D97-A3C9-EA30D5C90515.avhdx,,,C:\ClusterStorage\FS1-S-HYP-VM-01\S3-P-AD-DS-03\P-AD-DS-03_1_81E00E8B-74BE-4D14-809D-34F8CCD716F2_713FFA16-E265-4D97-A3C9-EA30D5C90515.avhdx,204800,,,,,,,,,,,,SCSI 0,,0,0,,,,,,,,,,,S-HYP-CLTR-01,S-HYP-01,,,,4e1a2886-a19f-4fd2-998a-a8e1ad79b173,,,
S3-P-AD-DS-04,Running,,,S3-P-AD-DS-04_1_CAA6081C-1D43-481A-BB46-4FF6A2C08E05_49B4AC5F-14EA-49E6-B6D3-00021525DE98.avhdx,,,C:\ClusterStorage\FS1-S-HYP-VM-01\S3-P-AD-DS-04\S3-P-AD-DS-04_1_CAA6081C-1D43-481A-BB46-4FF6A2C08E05_49B4AC5F-14EA-49E6-B6D3-00021525DE98.avhdx,153600,,,,,,,,,,,,SCSI 0,,0,0,,,,,,,,,,,S-HYP-CLTR-01,S-HYP-01,,,,ab196ede-d535-4f48-828e-94b3a3d44970,,,
S2-P-AD-DS-03,Running,,,P-AD-DS-03_1_1FAD6842-69F4-43AE-BFA5-2CBDDC626D5F_4FDDE056-A1AB-4F90-BB79-89B2F184C35A.avhdx,,,C:\ClusterStorage\FS1-S-HYP-VM-01\S2-P-AD-DS-03\P-AD-DS-03_1_1FAD6842-69F4-43AE-BFA5-2CBDDC626D5F_4FDDE056-A1AB-4F90-BB79-89B2F184C35A.avhdx,204800,,,,,,,,,,,,SCSI 0,,0,0,,,,,,,,,,,S-HYP-CLTR-01,S-HYP-01,,,,ac580a35-397a-4642-b4bf-3f535cd14c44,,,
S3-P-AD-DS-UIO-02,Running,,,P-AD-DS-UIO-02_7DC4AD11-B73E-415F-94AA-18C18C6E49C7.avhdx,,,C:\ClusterStorage\FS1-S-HYP-VM-01\P-AD-DS-UIO-02\P-AD-DS-UIO-02_7DC4AD11-B73E-415F-94AA-18C18C6E49C7.avhdx,102400,,,,,,,,,,,,SCSI 0,,0,0,,,,,,,,,,,S-HYP-CLTR-01,S-HYP-01,,,,d9998e48-2f88-4828-9f18-866751a46600,,,
S2-P-RADFS4-01,Running,,,P-RADFS4-01_1_1B74D596-997B-469C-93D9-9D93D6A2E2D7_1_4368434C-C94F-4923-BBA7-000CFFCA38CB.vhdx,,,C:\ClusterStorage\FS1-S-HYP-VM-01\S2-P-RADFS4-01\P-RADFS4-01_1_1B74D596-997B-469C-93D9-9D93D6A2E2D7_1_4368434C-C94F-4923-BBA7-000CFFCA38CB.vhdx,204800,,,,True,,,,,,,,SCSI 0,,0,0,,,,,,,,,,,S-HYP-CLTR-01,S-HYP-01,,,,e643c790-4e8f-4329-9ddb-6968629a3837,,,
T-KUBE-LINUX-WORK-01,Running,,,T-KUBE-LINUX-WORK-01_8F325F89-88B7-4503-9315-27715852387F.avhdx,,,C:\ClusterStorage\FS1-T-HYP-VM-02\T-KUBE-LINUX-WORK-01\T-KUBE-LINUX-WORK-01_8F325F89-88B7-4503-9315-27715852387F.avhdx,81920,,,,,,,,,,,,SCSI 0,,0,0,,,,,,,,,,,T-HYP-CLTR-01,T-HYP-01,,,,030cbfe1-15a8-4041-a86e-01a1ea840326,,,
T-KUBE-LINUX-WORK-01,Running,,,CDATA-01_AC3EA128-F017-4C13-9507-B138F2E27FB1.avhdx,,,C:\ClusterStorage\FS1-T-HYP-VM-02\T-KUBE-LINUX-WORK-01\CDATA-01_AC3EA128-F017-4C13-9507-B138F2E27FB1.avhdx,102400,,,,,,,,,,,,SCSI 0,,2,2,,,,,,,,,,,T-HYP-CLTR-01,T-HYP-01,,,,030cbfe1-15a8-4041-a86e-01a1ea840326,,,
T-KUBE-LINUX-WORK-01,Running,,,CDATA-02.vhdx,,,C:\ClusterStorage\FS1-T-HYP-VM-02\t-kube-linux-work-01\CDATA-02.vhdx,40960,,,,True,,,,,,,,SCSI 0,,3,3,,,,,,,,,,,T-HYP-CLTR-01,T-HYP-01,,,,030cbfe1-15a8-4041-a86e-01a1ea840326,,,
D-SQL-ALW-02,Running,,,D-SQL-ALW-02_1_EBB7751E-0618-4463-8EA1-4318DC35B161.vhdx,,,C:\ClusterStorage\FS1-T-SQL-04\D-SQL-ALW-02\D-SQL-ALW-02_1_EBB7751E-0618-4463-8EA1-4318DC35B161.vhdx,204800,,,,True,,,,,,,,SCSI 0,,0,0,,,,,,,,,,,T-HYP-CLTR-01,T-HYP-01,,,,0d4148cf-f2f7-4411-8168-29243d5a4d5e,,,
