Host,Datacenter,Cluster,Config status,Compliance Check State,in Maintenance Mode,in Quarantine Mode,vSAN Fault Domain Name,CPU Model,Speed,HT Available,HT Active,# CPU,Cores per CPU,# Cores,CPU usage %,# Memory,Memory Tiering Type,Memory usage %,Console,# NICs,# HBAs,# VMs total,# VMs,VMs per Core,# vCPUs,vCPUs per Core,vRAM,VM Used memory,VM Memory Swapped,VM Memory Ballooned,VMotion support,Storage VMotion support,Current EVC,Max EVC,Assigned License(s),ATS Heartbeat,ATS Locking,Current CPU power man. policy,Supported CPU power man.,Host Power Policy,ESX Version,Boot time,DNS Servers,DHCP,Domain,Domain List,DNS Search Order,NTP Server(s),NTPD running,Time Zone,Time Zone Name,GMT Offset,Vendor,Model,Serial number,Service tag,OEM specific string,BIOS Vendor,BIOS Version,BIOS Date,Certificate Issuer,Certificate Start Date,Certificate Expiry Date,Certificate Status,Certificate Subject,Object ID,AutoDeploy.MachineIdentity,Backup status,ClusterInvariantVMMId,Last backup,UUID,VI SDK Server,VI SDK UUID
S-HYP-01,,S-HYP-CLTR-01,Connected,,,,,Intel(R) Xeon(R) CPU E5-2660 v3 @ 2.60GHz,2601,True,True,2,10,20,,327407,,,,4,,6,6,0.3,48.0,2.4,122880.0,,,,,,,,,,,,,,,/Date(1763069153500)/,"172.21.75.4, 172.21.75.5, 10.21.75.15, 10.21.75.16",,usfq.edu.ec,,,,,SA Pacific Standard Time,SA Pacific Standard Time,-5,Cisco Systems Inc,UCSB-B200-M4,FLM19379G72,FLM19379G72,,"Cisco Systems, Inc.",B200M4.4.1.2e.0.1024230116,/Date(1698105600000)/,,,,,,,,,,,2C9ED25E-EA71-E711-4000-000000000004,,
S-HYP-03,,S-HYP-CLTR-01,Connected,,,,,Intel(R) Xeon(R) CPU E5-2660 v3 @ 2.60GHz,2601,True,True,2,10,20,,327407,,,,4,,,,,,,,,,,,,,,,,,,,,,/Date(1765895939823)/,"172.21.75.4, 172.21.75.5, 10.21.75.15, 10.21.75.16",,usfq.edu.ec,,,,,SA Pacific Standard Time,SA Pacific Standard Time,-5,Cisco Systems Inc,UCSB-B200-M4,FCH20277T1Z,FCH20277T1Z,,"Cisco Systems, Inc.",B200M4.4.1.2d.0.0615220032,/Date(1655251200000)/,,,,,,,,,,,2C9ED25E-EA71-E711-4000-000000000006,,
S-HYP-04,,S-HYP-CLTR-01,Connected,,,,,Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz,2201,True,True,2,12,24,,327568,,,,4,,,,,,,,,,,,,,,,,,,,,,/Date(1764086209500)/,"172.21.75.4, 172.21.75.5, 10.21.75.15, 10.21.75.16",,usfq.edu.ec,,,,,SA Pacific Standard Time,SA Pacific Standard Time,-5,Cisco Systems Inc,UCSB-B200-M4,FLM2121065M,FLM2121065M,,"Cisco Systems, Inc.",B200M4.4.1.2e.0.1024230116,/Date(1698105600000)/,,,,,,,,,,,2C9ED25E-EA71-E711-4000-000000000007,,
S-HYP-02,,S-HYP-CLTR-01,Connected,,,,,Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz,2201,True,True,2,12,24,,327568,,,,4,,,,,,,,,,,,,,,,,,,,,,/Date(1763069220500)/,"172.21.75.4, 172.21.75.5, 10.21.75.15, 10.21.75.16",,usfq.edu.ec,,,,,SA Pacific Standard Time,SA Pacific Standard Time,-5,Cisco Systems Inc,UCSB-B200-M4,FLM212106AF,FLM212106AF,,"Cisco Systems, Inc.",B200M4.4.1.2e.0.1024230116,/Date(1698105600000)/,,,,,,,,,,,2C9ED25E-EA71-E711-4000-000000000005,,
T-HYP-01,,T-HYP-CLTR-01,Connected,,,,,Intel(R) Xeon(R) Gold 6140 CPU @ 2.30GHz,2300,True,True,2,18,36,,784899,,,,4,,22,22,0.61,122.0,3.39,374776.0,,,,,,,,,,,,,,,/Date(1765987127500)/,"172.21.75.4, 172.21.75.5",,usfq.edu.ec,,,,,SA Pacific Standard Time,SA Pacific Standard Time,-5,Cisco Systems Inc,UCSB-B200-M5,FCH230571J6,FCH230571J6,,"Cisco Systems, Inc.",B200M5.4.3.2a.0.0613232340,/Date(1686614400000)/,,,,,,,,,,,2C9ED25E-EA71-E711-5000-000000000006,,
T-HYP-03,,T-HYP-CLTR-01,Connected,,,,,Intel(R) Xeon(R) Gold 6140 CPU @ 2.30GHz,2300,True,True,2,18,36,,784899,,,,4,,6,6,0.17,28.0,0.78,61440.0,,,,,,,,,,,,,,,/Date(1765979673500)/,"172.21.75.4, 172.21.75.5",,usfq.edu.ec,,,,,SA Pacific Standard Time,SA Pacific Standard Time,-5,Cisco Systems Inc,UCSB-B200-M5,FCH230179SH,FCH230179SH,,"Cisco Systems, Inc.",B200M5.4.3.2a.0.0613232340,/Date(1686614400000)/,,,,,,,,,,,2C9ED25E-EA71-E711-5000-000000000008,,
P-HYP-01,,P-HYP-CLTR-01,Connected,,,,,Intel(R) Xeon(R) Gold 5218R CPU @ 2.10GHz,2100,True,True,2,20,40,,1048228,,,,4,,25,25,0.62,215.0,5.38,815104.0,,,,,,,,,,,,,,,/Date(1766325432500)/,"172.21.75.4, 172.21.75.5, 10.21.75.15, 10.21.75.16",,usfq.edu.ec,,,,,SA Pacific Standard Time,SA Pacific Standard Time,-5,Cisco Systems Inc,UCSB-B200-M5,FLM24440719,FLM24440719,,"Cisco Systems, Inc.",B200M5.4.2.2d.0.0808221350,/Date(1659916800000)/,,,,,,,,,,,2C9ED25E-EA71-E711-1000-000000000001,,
T-HYP-02,,T-HYP-CLTR-01,Connected,,,,,Intel(R) Xeon(R) Gold 6140 CPU @ 2.30GHz,2300,True,True,2,18,36,,784899,,,,4,,18,18,0.5,122.0,3.39,391062.0,,,,,,,,,,,,,,,/Date(1765981647500)/,"172.21.75.4, 172.21.75.5",,usfq.edu.ec,,,,,SA Pacific Standard Time,SA Pacific Standard Time,-5,Cisco Systems Inc,UCSB-B200-M5,FLM23290F2U,FLM23290F2U,,"Cisco Systems, Inc.",B200M5.4.2.2d.0.0808221350,/Date(1659916800000)/,,,,,,,,,,,2C9ED25E-EA71-E711-5000-000000000007,,
P-HYP-02,,P-HYP-CLTR-01,Connected,,,,,Intel(R) Xeon(R) Gold 5218R CPU @ 2.10GHz,2100,True,True,2,20,40,,1048228,,,,4,,28,28,0.7,202.0,5.05,655360.0,,,,,,,,,,,,,,,/Date(1766327114500)/,"172.21.75.4, 172.21.75.5, 10.21.75.15, 10.21.75.16",,usfq.edu.ec,,,,,SA Pacific Standard Time,SA Pacific Standard Time,-5,Cisco Systems Inc,UCSB-B200-M5,FLM2346035D,FLM2346035D,,"Cisco Systems, Inc.",B200M5.4.2.2d.0.0808221350,/Date(1659916800000)/,,,,,,,,,,,2C9ED25E-EA71-E711-1000-000000000002,,
P-HYP-03,,P-HYP-CLTR-01,Connected,,,,,Intel(R) Xeon(R) Gold 5218R CPU @ 2.10GHz,2100,True,True,2,20,40,,1048228,,,,4,,23,23,0.57,220.0,5.5,700416.0,,,,,,,,,,,,,,,/Date(1766328779500)/,"172.21.75.4, 172.21.75.5, 10.21.75.15, 10.21.75.16",,usfq.edu.ec,,,,,SA Pacific Standard Time,SA Pacific Standard Time,-5,Cisco Systems Inc,UCSB-B200-M5,FLM2444053Q,FLM2444053Q,,"Cisco Systems, Inc.",B200M5.4.3.2a.0.0613232340,/Date(1686614400000)/,,,,,,,,,,,2C9ED25E-EA71-E711-1000-000000000003,,
P-HYP-04,,P-HYP-CLTR-01,Connected,,,,,Intel(R) Xeon(R) Gold 5218R CPU @ 2.10GHz,2100,True,True,2,20,40,,1048228,,,,4,,14,14,0.35,160.0,4.0,569344.0,,,,,,,,,,,,,,,/Date(1766330402500)/,"172.21.75.4, 172.21.75.5, 10.21.75.15, 10.21.75.16",,usfq.edu.ec,,,,,SA Pacific Standard Time,SA Pacific Standard Time,-5,Cisco Systems Inc,UCSB-B200-M5,FLM2444067K,FLM2444067K,,"Cisco Systems, Inc.",B200M5.4.2.2d.0.0808221350,/Date(1659916800000)/,,,,,,,,,,,2C9ED25E-EA71-E711-1000-000000000004,,
P-HYP-05,,P-HYP-CLTR-01,Connected,,,,,Intel(R) Xeon(R) Gold 5218R CPU @ 2.10GHz,2100,True,True,2,20,40,,1048228,,,,4,,28,28,0.7,224.0,5.6,571424.0,,,,,,,,,,,,,,,/Date(1766331904500)/,"172.21.75.4, 172.21.75.5, 10.21.75.15, 10.21.75.16",,usfq.edu.ec,,,,,SA Pacific Standard Time,SA Pacific Standard Time,-5,Cisco Systems Inc,UCSB-B200-M5,FLM2444071U,FLM2444071U,,"Cisco Systems, Inc.",B200M5.4.2.2d.0.0808221350,/Date(1659916800000)/,,,,,,,,,,,2C9ED25E-EA71-E711-1000-000000000005,,
