VM,Powerstate,Template,SRM Placeholder,NIC label,Adapter,Network,Switch,Connected,Starts Connected,Mac Address,Type,IPv4 Address,IPv6 Address,Direct Path IO,Internal Sort Column,Annotation,Backup status,ClusterInvariantVMMId,Last backup,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VI SDK Server,VI SDK UUID
S3-P-AD-DS-UIO-01,Running,,,Network Adapter,,SETSwHyperv,SETSwHyperv,True,,00:15:5D:15:34:0B,,172.21.75.72,,,,,,,,,,S-HYP-01,,,,310e728b-a3ad-4b60-8bb0-9266ce968481,,,
S3-P-AD-DS-03,Running,,,Network Adapter,,SETSwHyperv,SETSwHyperv,True,,00:15:5D:15:34:0A,,172.21.75.4,,,,,,,,,,S-HYP-01,,,,4e1a2886-a19f-4fd2-998a-a8e1ad79b173,,,
S3-P-AD-DS-04,Running,,,Network adapter 1,,SETSwHyperv,SETSwHyperv,True,,00:15:5D:15:34:09,,172.21.75.75,fe80::d720:1805:7856:e95b,,,,,,,,,S-HYP-01,,,,ab196ede-d535-4f48-828e-94b3a3d44970,,,
S2-P-AD-DS-03,Running,,,Network Adapter,,SETSwHyperv,SETSwHyperv,True,,00:15:5D:15:34:07,,172.21.75.4,fe80::a7a:fc17:bb51:4777,,,,,,,,,S-HYP-01,,,,ac580a35-397a-4642-b4bf-3f535cd14c44,,,
S3-P-AD-DS-UIO-02,Running,,,Network Adapter,,SETSwHyperv,SETSwHyperv,True,,00:15:5D:15:34:0C,,172.21.75.73,fe80::cc46:9831:1c16:e6ef,,,,,,,,,S-HYP-01,,,,d9998e48-2f88-4828-9f18-866751a46600,,,
S2-P-RADFS4-01,Running,,,Network Adapter,,SETSwHyperv,SETSwHyperv,True,,00:15:5D:15:34:08,,172.21.75.43,fe80::aa45:77d5:5c01:5ce4,,,,,,,,,S-HYP-01,,,,e643c790-4e8f-4329-9ddb-6968629a3837,,,
T-KUBE-LINUX-WORK-01,Running,,,Network Adapter,,SETSwHyperv,SETSwHyperv,True,,00:15:5D:1F:E2:1C,,172.21.63.244,fe80::215:5dff:fe1f:e21c,,,,,,,,,T-HYP-01,,,,030cbfe1-15a8-4041-a86e-01a1ea840326,,,
D-SQL-ALW-02,Running,,,Network Adapter,,SETSwHyperv,SETSwHyperv,True,,00:15:5D:A0:C7:22,,"172.21.64.65,172.21.64.62",,,,,,,,,,T-HYP-01,,,,0d4148cf-f2f7-4411-8168-29243d5a4d5e,,,
D-SQL-ALW-02,Running,,,Network Adapter,,SETSwHyperv,SETSwHyperv,True,,00:15:5D:A0:C7:23,,172.21.86.115,,,,,,,,,,T-HYP-01,,,,0d4148cf-f2f7-4411-8168-29243d5a4d5e,,,
T-SQL-ENV-03,Running,,,Network Adapter,,SETSwHyperv,SETSwHyperv,True,,00:15:5D:A0:C7:20,,172.21.64.95,fe80::8e73:a8b9:87bf:bdb2,,,,,,,,,T-HYP-01,,,,1d91d4a1-7b2d-4316-aa69-805335fecc22,,,
T-SQL-ENV-03,Running,,,Network Adapter,,SETSwHyperv,SETSwHyperv,True,,00:15:5D:A0:C7:21,,172.21.86.133,fe80::49f7:c5ff:ebce:3c8,,,,,,,,,T-HYP-01,,,,1d91d4a1-7b2d-4316-aa69-805335fecc22,,,
