VM,Powerstate,Name,Description,Date / time,Filename,Size MiB (vmsn),Size MiB (total),Quiesced,State,Annotation,Backup status,ClusterInvariantVMMId,Last backup,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VI SDK Server,VI SDK UUID
S3-P-AD-DS-UIO-01,Running,S3-P-AD-DS-UIO-01 - (22/10/2025 - 10:52:54),#CLUSTER-INVARIANT#:{00230371-1f0f-474e-8554-1c0fce9bf07a},/Date(1763069753386)/,,,,,0,,,,,,S-HYP-CLTR-01,S-HYP-01,,,,310e728b-a3ad-4b60-8bb0-9266ce968481,,,
S3-P-AD-DS-03,Running,S3-P-AD-DS-03 - (22/10/2025 - 10:51:57),#CLUSTER-INVARIANT#:{bfbbce0f-6591-4180-b7a4-ef7501d55f5c},/Date(1763069690923)/,,,,,0,,,,,,S-HYP-CLTR-01,S-HYP-01,,,,4e1a2886-a19f-4fd2-998a-a8e1ad79b173,,,
S3-P-AD-DS-03,Running,S3-P-AD-DS-03 - (16/10/2025 - 9:29:01),#CLUSTER-INVARIANT#:{bfbbce0f-6591-4180-b7a4-ef7501d55f5c},/Date(1763069691018)/,,,,,0,,,,,,S-HYP-CLTR-01,S-HYP-01,,,,4e1a2886-a19f-4fd2-998a-a8e1ad79b173,,,
S3-P-AD-DS-04,Running,S3-P-AD-DS-04 - (22/10/2025 - 10:52:30),#CLUSTER-INVARIANT#:{57f92e42-b1d9-475f-9d74-50343adc4820},/Date(1763069623177)/,,,,,0,,,,,,S-HYP-CLTR-01,S-HYP-01,,,,ab196ede-d535-4f48-828e-94b3a3d44970,,,
S2-P-AD-DS-03,Running,S2-P-AD-DS-03 - (10/22/2025 - 10:46:19 AM),#CLUSTER-INVARIANT#:{83a551f2-be5e-4926-b0ce-79c7c0b422ae},/Date(1763069605830)/,,,,,0,,,,,,S-HYP-CLTR-01,S-HYP-01,,,,ac580a35-397a-4642-b4bf-3f535cd14c44,,,
S3-P-AD-DS-UIO-02,Running,S3-P-AD-DS-UIO-02 - (22/10/2025 - 10:53:11),#CLUSTER-INVARIANT#:{ee1efe54-d0bd-4fab-9471-304b2e2c42ab},/Date(1762177089695)/,,,,,0,,,,,,S-HYP-CLTR-01,S-HYP-01,,,,d9998e48-2f88-4828-9f18-866751a46600,,,
T-KUBE-LINUX-WORK-01,Running,T-KUBE-LINUX-WORK-01 - (3/11/2025 - 11:39:32),,/Date(1763065244586)/,,,,,0,,,,,,T-HYP-CLTR-01,T-HYP-01,,,,030cbfe1-15a8-4041-a86e-01a1ea840326,,,
T-LB-APP-SRV-02,Running,T-LB-APP-SRV-02 - (30/9/2025 - 15:32:57),,/Date(1760637197150)/,,,,,0,,,,,,T-HYP-CLTR-01,T-HYP-01,,,,1e0e6a0b-43e1-452d-ba61-3616ca19246a,,,
T-LB-APP-SRV-02,Running,T-LB-APP-SRV-02 - (21/10/2025 - 11:30:23),,/Date(1763063182273)/,,,,,0,,,,,,T-HYP-CLTR-01,T-HYP-01,,,,1e0e6a0b-43e1-452d-ba61-3616ca19246a,,,
T-LB-APP-SRV-02,Running,T-LB-APP-SRV-02 - (24/10/2025 - 10:26:47),,/Date(1763063183220)/,,,,,0,,,,,,T-HYP-CLTR-01,T-HYP-01,,,,1e0e6a0b-43e1-452d-ba61-3616ca19246a,,,
