sheet,column,non_empty_count,empty_count,fill_pct
vInfo,VM,129,0,100.00
vInfo,Powerstate,129,0,100.00
vInfo,Template,129,0,100.00
vInfo,SRM Placeholder,0,129,0.00
vInfo,Config status,0,129,0.00
vInfo,DNS Name,0,129,0.00
vInfo,Connection state,129,0,100.00
vInfo,Guest state,129,0,100.00
vInfo,Heartbeat,0,129,0.00
vInfo,Consolidation Needed,129,0,100.00
vInfo,PowerOn,116,13,89.92
vInfo,Suspended To Memory,0,129,0.00
vInfo,Suspend time,0,129,0.00
vInfo,Suspend Interval,129,0,100.00
vInfo,Creation date,129,0,100.00
vInfo,Change Version,129,0,100.00
vInfo,CPUs,129,0,100.00
vInfo,Overall Cpu Readiness,0,129,0.00
vInfo,Memory,129,0,100.00
vInfo,Active Memory,129,0,100.00
vInfo,NICs,129,0,100.00
vInfo,Disks,129,0,100.00
vInfo,Total disk capacity MiB,129,0,100.00
vInfo,Fixed Passthru HotPlug,0,129,0.00
vInfo,min Required EVC Mode Key,0,129,0.00
vInfo,Latency Sensitivity,0,129,0.00
vInfo,Op Notification Timeout,0,129,0.00
vInfo,EnableUUID,0,129,0.00
vInfo,CBT,0,129,0.00
vInfo,Primary IP Address,113,16,87.60
vInfo,Network #1,129,0,100.00
vInfo,Network #2,18,111,13.95
vInfo,Network #3,11,118,8.53
vInfo,Network #4,9,120,6.98
vInfo,Network #5,0,129,0.00
vInfo,Network #6,0,129,0.00
vInfo,Network #7,0,129,0.00
vInfo,Network #8,0,129,0.00
vInfo,Num Monitors,0,129,0.00
vInfo,Video Ram KiB,0,129,0.00
vInfo,Resource pool,129,0,100.00
vInfo,Folder ID,129,0,100.00
vInfo,Folder,129,0,100.00
vInfo,vApp,0,129,0.00
vInfo,DAS protection,0,129,0.00
vInfo,FT State,129,0,100.00
vInfo,FT Role,0,129,0.00
vInfo,FT Latency,0,129,0.00
vInfo,FT Bandwidth,0,129,0.00
vInfo,FT Sec. Latency,0,129,0.00
vInfo,Vm Failover In Progress,0,129,0.00
vInfo,Provisioned MiB,129,0,100.00
vInfo,In Use MiB,129,0,100.00
vInfo,Unshared MiB,129,0,100.00
vInfo,HA Restart Priority,0,129,0.00
vInfo,HA Isolation Response,0,129,0.00
vInfo,HA VM Monitoring,0,129,0.00
vInfo,Cluster rule(s),0,129,0.00
vInfo,Cluster rule name(s),0,129,0.00
vInfo,Boot Required,0,129,0.00
vInfo,Boot delay,129,0,100.00
vInfo,Boot retry delay,129,0,100.00
vInfo,Boot retry enabled,129,0,100.00
vInfo,Boot BIOS setup,129,0,100.00
vInfo,Reboot PowerOff,129,0,100.00
vInfo,EFI Secure boot,129,0,100.00
vInfo,Firmware,129,0,100.00
vInfo,HW version,129,0,100.00
vInfo,HW upgrade status,0,129,0.00
vInfo,HW upgrade policy,0,129,0.00
vInfo,HW target,0,129,0.00
vInfo,Path,129,0,100.00
vInfo,Log directory,129,0,100.00
