Port,Switch,Type,# Ports,VLAN,Speed,Full Duplex,Blocked,Allow Promiscuous,Mac Changes,Active Uplink,Standby Uplink,Policy,Forged Transmits,In Traffic Shaping,In Avg,In Peak,In Burst,Out Traffic Shaping,Out Avg,Out Peak,Out Burst,Reverse Policy,Notify Switch,Rolling Order,Check Beacon,Live Port Moving,Check Duplex,Check Error %,Check Speed,Percentage,Block Override,Config Reset,Shaping Override,Vendor Config Override,Sec. Policy Override,Teaming Override,Vlan Override,Object ID,VI SDK Server,VI SDK UUID
V-CAMARAS-161,USFQ-DVS,earlyBinding,9,161,,,,False,False,"Uplink 1,Uplink 2",,loadbalance_srcid,False,,,,,,,,,True,,False,,,,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
V-SRV-75,USFQ-DVS,earlyBinding,50,1175,,,,False,False,"Uplink 1,Uplink 2",,loadbalance_srcid,False,,,,,,,,,True,,False,,,,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
V-SRV-74,USFQ-DVS,earlyBinding,20,1174,,,,False,False,"Uplink 1,Uplink 2",,loadbalance_srcid,False,,,,,,,,,True,,False,,,,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
V-FINANZAS-80,USFQ-DVS,earlyBinding,8,1180,,,,False,False,"Uplink 1,Uplink 2",,loadbalance_srcid,False,,,,,,,,,True,,False,,,,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
V-INVESTIGACION-67,USFQ-DVS,earlyBinding,10,1267,,,,False,False,"Uplink 1,Uplink 2",,loadbalance_srcid,False,,,,,,,,,True,,False,,,,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
V-SRV-BAN-85,USFQ-DVS,earlyBinding,50,1085,,,,False,False,"Uplink 1,Uplink 2",,loadbalance_srcid,False,,,,,,,,,True,,False,,,,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
V-SRV-TERCEROS-65,USFQ-DVS,earlyBinding,16,1265,,,,False,False,"Uplink 1,Uplink 2",,loadbalance_srcid,False,,,,,,,,,True,,False,,,,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
V-SRV-ACCESS-77,USFQ-DVS,earlyBinding,11,1177,,,,False,False,"Uplink 1,Uplink 2",,loadbalance_srcid,False,,,,,,,,,True,,False,,,,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
V-SRV-64,USFQ-DVS,earlyBinding,19,1064,,,,False,False,"Uplink 1,Uplink 2",,loadbalance_srcid,False,,,,,,,,,True,,False,,,,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
V-HUBI-JAIL-79,USFQ-DVS,earlyBinding,20,2079,,,,False,False,"Uplink 1,Uplink 2",,loadbalance_srcid,False,,,,,,,,,True,,False,,,,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
V-T-KUBERNET-63,USFQ-DVS,earlyBinding,8,1063,,,,False,False,"Uplink 1,Uplink 2",,loadbalance_srcid,False,,,,,,,,,True,,False,,,,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
V-SRV-IMP-76,USFQ-DVS,earlyBinding,10,1176,,,,False,False,"Uplink 1,Uplink 2",,loadbalance_srcid,False,,,,,,,,,True,,False,,,,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
USFQ-DVS-DVUplinks-1640,USFQ-DVS,earlyBinding,8,0-4094,,,,False,False,,,loadbalance_srcid,True,,,,,,,,,True,,False,,,,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
V-INFRA-210,USFQ-DVS,earlyBinding,8,210,,,,False,False,"Uplink 1,Uplink 2",,loadbalance_srcid,False,,,,,,,,,True,,False,,,,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
V-MGMT-19,USFQ-DVS,earlyBinding,8,19,,,,False,False,"Uplink 1,Uplink 2",,loadbalance_srcid,False,,,,,,,,,True,,False,,,,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
V-SRV-66,USFQ-DVS,earlyBinding,8,1066,,,,False,False,"Uplink 1,Uplink 2",,loadbalance_srcid,False,,,,,,,,,True,,False,,,,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
V-PUBLIC-192,USFQ-DVS,earlyBinding,10,192,,,,False,False,"Uplink 1,Uplink 2",,loadbalance_srcid,False,,,,,,,,,True,,False,,,,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
V-SWITCH-21,USFQ-DVS,earlyBinding,8,21,,,,False,False,"Uplink 1,Uplink 2",,loadbalance_srcid,False,,,,,,,,,True,,False,,,,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
V-SRV-WAF-73,USFQ-DVS,earlyBinding,10,1173,,,,False,False,"Uplink 1,Uplink 2",,loadbalance_srcid,False,,,,,,,,,True,,False,,,,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
