VM,Powerstate,Template,SRM Placeholder,Device Node,Connected,Starts Connected,Device Type,Annotation,Backup status,ClusterInvariantVMMId,Last backup,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VMRef,VM ID,VM UUID,VI SDK Server,VI SDK UUID
P-DLAB-01,,,,CD/DVD drive 1,False,True,,,,,,,,,,,,,,,,
P-HIKCENTRAL-01,,,,CD/DVD drive 1,False,True,,,,,,,,,,,,,,,,
P-APP-ORPHEUS-01,,,,CD/DVD drive 1,True,True,[FS1-P-ESX-VM-01] OracleLinux-R9-U5-x86_64-dvd.iso,,,,,,,,,,,,,,,
P-APP-LIB-01,,,,CD/DVD drive 1,True,True,[FS1-P-ESX-VM-01] OracleLinux-R9-U5-x86_64-dvd.iso,,,,,,,,,,,,,,,
P-RADFS4-03,,,,CD/DVD drive 1,False,True,,,,,,,,,,,,,,,,
P-PROOFPOINT-02,,,,CD/DVD drive 1,False,False,Host Device: CD/DVD drive 0,,,,,,,,,,,,,,,
P-KOVM-CLC-01,,,,CD/DVD drive 1,False,True,,,,,,,,,,,,,,,,
P-UCS-01,,,,CD/DVD drive 1,False,False,,,,,,,,,,,,,,,,
T-ZSCALER-01,,,,CD/DVD drive 1,False,False,,,,,,,,,,,,,,,,
T-ZSCALER-01,,,,CD/DVD drive 2,False,False,,,,,,,,,,,,,,,,
P-WORDPRESS-OL-02,,,,CD/DVD drive 1,False,True,,,,,,,,,,,,,,,,
T-THALES-TKN-01,,,,CD/DVD drive 1,False,False,,,,,,,,,,,,,,,,
P-ZB-PROXY-02,,,,CD/DVD drive 1,False,True,,,,,,,,,,,,,,,,
P-ZB-PROXY-OL9-01,,,,CD/DVD drive 1,True,True,[FS1-P-ESX-VM-01] OracleLinux-R9-U5-x86_64-dvd.iso,,,,,,,,,,,,,,,
P-NSS-02,,,,CD/DVD drive 1,False,True,,,,,,,,,,,,,,,,
T-DB-GALERA-0L95-01,,,,CD/DVD drive 1,True,True,[FS1-P-ESX-VM-01] OracleLinux-R9-U5-x86_64-dvd.iso,,,,,,,,,,,,,,,
P-HUBI-PYTHON-OLNX-01,,,,CD/DVD drive 1,False,True,,,,,,,,,,,,,,,,
P-APP-INFOREDESTI-01,,,,CD/DVD drive 1,True,True,[FS1-P-ESX-VM-01] OracleLinux-R9-U5-x86_64-dvd.iso,,,,,,,,,,,,,,,
P-ARBITRAJE-01,,,,CD/DVD drive 1,False,True,,,,,,,,,,,,,,,,
P-WORDPRESS-OL-01,,,,CD/DVD drive 1,False,True,,,,,,,,,,,,,,,,
P-MONITOREO-UCS,,,,CD/DVD drive 1,True,True,[FS1-P-ESX-VM-01] OracleLinux-R9-U5-x86_64-dvd.iso,,,,,,,,,,,,,,,
P-ZB-PROXY-01,,,,CD/DVD drive 1,False,True,,,,,,,,,,,,,,,,
P-BAN9-APP-04,,,,CD/DVD drive 1,False,False,,,,,,,,,,,,,,,,
T-APP-ORPHEUS-01,,,,CD/DVD drive 1,True,True,[FS1-P-ESX-VM-01] OracleLinux-R9-U5-x86_64-dvd.iso,,,,,,,,,,,,,,,
T-APP-LIB-01,,,,CD/DVD drive 1,True,True,[FS1-P-ESX-VM-01] OracleLinux-R9-U5-x86_64-dvd.iso,,,,,,,,,,,,,,,
P-QUALYS-02,,,,CD/DVD drive 1,False,False,Host Device: ,,,,,,,,,,,,,,,
P-BAN9-BEPBRIM-01,,,,CD/DVD drive 1,False,False,,,,,,,,,,,,,,,,
P-KOVM-CLC-01-CLON,,,,CD/DVD drive 1,False,True,,,,,,,,,,,,,,,,
P-NESSUS-01,,,,CD/DVD drive 1,False,True,,,,,,,,,,,,,,,,
P-ENGINE-GIZ-01,,,,CD/DVD drive 1,False,True,,,,,,,,,,,,,,,,
P-ZB-GRAFANA-01,,,,CD/DVD drive 1,False,True,,,,,,,,,,,,,,,,
P-BAN9-BATCH-01,,,,CD/DVD drive 1,False,False,,,,,,,,,,,,,,,,
P-BAN9-APP-03,,,,CD/DVD drive 1,False,False,,,,,,,,,,,,,,,,
P-BAN9-ETHOS-01,,,,CD/DVD drive 1,False,False,,,,,,,,,,,,,,,,
P-NSS-01,,,,CD/DVD drive 1,False,False,,,,,,,,,,,,,,,,
P-RADIUS-02,,,,CD/DVD drive 1,False,False,,,,,,,,,,,,,,,,
P-ZB-PROXY-OL9-02,,,,CD/DVD drive 1,True,True,[FS1-P-ESX-VM-01] OracleLinux-R9-U5-x86_64-dvd.iso,,,,,,,,,,,,,,,
T-DB-GALERA-OL95-02,,,,CD/DVD drive 1,True,True,[FS1-P-ESX-VM-01] OracleLinux-R9-U5-x86_64-dvd.iso,,,,,,,,,,,,,,,
P-BIBREPO-OLNX-01,,,,CD/DVD drive 1,False,True,,,,,,,,,,,,,,,,
P-DB-GALERA-OL9-02,,,,CD/DVD drive 1,True,True,[FS1-P-ESX-VM-01] OracleLinux-R9-U5-x86_64-dvd.iso,,,,,,,,,,,,,,,
P-DB-GALERA-OL9-03,,,,CD/DVD drive 1,True,True,[FS1-P-ESX-VM-01] OracleLinux-R9-U5-x86_64-dvd.iso,,,,,,,,,,,,,,,
P-WWW4-OL-01-NEW,,,,CD/DVD drive 1,False,True,,,,,,,,,,,,,,,,
T-DB-GALERA-OL95-03,,,,CD/DVD drive 1,True,True,[FS1-P-ESX-VM-01] OracleLinux-R9-U5-x86_64-dvd.iso,,,,,,,,,,,,,,,
P-VC-01,,,,CD/DVD drive 1,False,False,,,,,,,,,,,,,,,,
P-MOODLE-OL-03,,,,CD/DVD drive 1,False,True,,,,,,,,,,,,,,,,
P-AD-DS-06,,,,CD/DVD drive 1,False,False,,,,,,,,,,,,,,,,
P-BAN9-APP-05,,,,CD/DVD drive 1,False,False,,,,,,,,,,,,,,,,
P-MINEMELDPA-01,,,,CD/DVD drive 1,False,True,,,,,,,,,,,,,,,,
P-NG-01,,,,CD/DVD drive 1,False,True,,,,,,,,,,,,,,,,
P-DB-GALERA-OL9-01,,,,CD/DVD drive 1,True,True,[FS1-P-ESX-VM-01] OracleLinux-R9-U5-x86_64-dvd.iso,,,,,,,,,,,,,,,
P-APP-PASEC-OLN-01,,,,CD/DVD drive 1,False,False,,,,,,,,,,,,,,,,
P-APP-REDCAP-OLN-01,,,,CD/DVD drive 1,False,False,,,,,,,,,,,,,,,,
P-BAN9-APP-01-CL,,,,CD/DVD drive 1,False,False,,,,,,,,,,,,,,,,
