VM,Powerstate,Template,SRM Placeholder,CPUs,Sockets,Cores p/s,Max,Overall,Level,Shares,Reservation,Entitlement,DRS Entitlement,Limit,Hot Add,Hot Remove,Numa Hotadd Exposed,Annotation,Backup status,ClusterInvariantVMMId,Last backup,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VI SDK Server,VI SDK UUID
P-DLAB-01,poweredOn,False,,4,4,4,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
P-HIKCENTRAL-01,poweredOn,False,,16,16,16,,,,16000,0,,,-1,,,,,,,,,,,,,,,,,
P-APP-ORPHEUS-01,poweredOn,False,,8,8,8,,,,8000,0,,,-1,,,,,,,,,,,,,,,,,
P-APP-LIB-01,poweredOn,False,,2,2,2,,,,2000,0,,,-1,,,,,,,,,,,,,,,,,
P-RADFS4-03,poweredOff,False,,12,12,1,,,,12000,0,,,-1,,,,,,,,,,,,,,,,,
P-TRAPS-01,poweredOff,False,,8,8,1,,,,8000,0,,,-1,,,,,,,,,,,,,,,,,
P-PROOFPOINT-02,poweredOff,False,,8,8,1,,,,8000,0,,,-1,,,,,,,,,,,,,,,,,
P-KOVM-CLC-01,poweredOff,False,,4,4,1,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
P-UCS-01,poweredOn,False,,4,4,1,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
T-ZSCALER-01,poweredOn,False,,4,4,4,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
P-WORDPRESS-OL-02,poweredOn,False,,8,8,8,,,,8000,0,,,-1,,,,,,,,,,,,,,,,,
T-THALES-TKN-01,poweredOn,False,,8,8,2,,,,8000,0,,,-1,,,,,,,,,,,,,,,,,
P-ZB-PROXY-02,poweredOn,False,,2,2,2,,,,2000,0,,,-1,,,,,,,,,,,,,,,,,
P-ZB-PROXY-OL9-01,poweredOn,False,,3,3,3,,,,3000,0,,,-1,,,,,,,,,,,,,,,,,
P-NSS-02,poweredOn,False,,4,4,4,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
T-DB-GALERA-0L95-01,poweredOn,False,,8,8,8,,,,8000,0,,,-1,,,,,,,,,,,,,,,,,
P-HUBI-PYTHON-OLNX-01,poweredOn,False,,4,4,4,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
P-APP-INFOREDESTI-01,poweredOn,False,,2,2,2,,,,2000,0,,,-1,,,,,,,,,,,,,,,,,
P-ARBITRAJE-01,poweredOn,False,,8,8,8,,,,8000,0,,,-1,,,,,,,,,,,,,,,,,
P-WORDPRESS-OL-01,poweredOn,False,,4,4,4,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
P-IMP-GW-WAF-02,poweredOn,False,,16,16,1,,,,16000,0,,,-1,,,,,,,,,,,,,,,,,
P-MONITOREO-UCS,poweredOn,False,,4,4,4,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
P-ZB-PROXY-01,poweredOn,False,,3,3,3,,,,3000,0,,,-1,,,,,,,,,,,,,,,,,
P-BAN9-APP-04,poweredOn,False,,4,4,4,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
T-APP-ORPHEUS-01,poweredOn,False,,8,8,8,,,,8000,0,,,-1,,,,,,,,,,,,,,,,,
P-ACR-CLOUD-03,poweredOn,False,,4,4,1,,,,4000,0,,,-1,,,,,,,,,,,,,,,,,
T-APP-LIB-01,poweredOn,False,,2,2,2,,,,2000,0,,,-1,,,,,,,,,,,,,,,,,
