VM,Powerstate,Template,SRM Placeholder,Disk,Disk Key,Disk UUID,Disk Path,Capacity MiB,Raw,Disk Mode,Sharing mode,Thin,Eagerly Scrub,Split,Write Through,Level,Shares,Reservation,Limit,Controller,Label,SCSI Unit #,Unit #,Shared Bus,Path,Raw LUN ID,Raw Comp. Mode,Internal Sort Column,Annotation,Backup status,ClusterInvariantVMMId,Last backup,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VI SDK Server,VI SDK UUID
P-DLAB-01,poweredOn,False,FALSE,Hard disk 1,2000,6000C294-535e-f101-58c2-99c297a47592,[FS1-P-ESX-VM-04] P-DLAB-01-17/P-DLAB-01-17-000001.vmdk,122900.48,FALSE,vim.vm.device.VirtualDisk,sharingNone,True,FALSE,FALSE,FALSE,normal,1000,0,-1,1000,Hard disk 1,0,0,noSharing,[FS1-P-ESX-VM-04] P-DLAB-01-17/P-DLAB-01-17-000001.vmdk,,,vm-11028:2000,,OK,5006cb2d-452a-135c-be2d-74aebde77228,2025-12-19 16:03:52,USFQ,USFQ-PRODUCCION,p-esx-03.usfq.edu.ec,/USFQ/vm,SUSE Linux Enterprise 10 (64-bit),CentOS 7 (64-bit),vm-11028,4206d5f7-66b4-adef-4ce5-3bdd63464b18,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-HIKCENTRAL-01,poweredOn,False,FALSE,Hard disk 1,2000,6000C295-9fd4-205a-41f8-f442186da6de,[FS1-P-ESX-VM-01] P-HIKCENTRAL-01/P-HIKCENTRAL-01.vmdk,457840.64,FALSE,vim.vm.device.VirtualDisk,sharingNone,True,FALSE,FALSE,FALSE,normal,1000,0,-1,1000,Hard disk 1,0,0,noSharing,[FS1-P-ESX-VM-01] P-HIKCENTRAL-01/P-HIKCENTRAL-01.vmdk,,,vm-1335:2000,,OK,50344dd2-df28-1fbf-48a8-2f4b0864b105,2025-12-08 20:07:04,USFQ,USFQ-PRODUCCION,p-esx-01.usfq.edu.ec,/USFQ/vm/Discovered virtual machine,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2019 (64-bit),vm-1335,42349cfc-01ec-f496-472d-4f2c4dc55702,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-APP-ORPHEUS-01,poweredOn,False,FALSE,Hard disk 1,2000,6000C292-f96b-8c59-f1ad-cf0e2fd3105b,[FS1-P-ESX-VM-04] P-APP-ORPHEUS-01/P-APP-ORPHEUS-01_6-000006.vmdk,71680.0,FALSE,vim.vm.device.VirtualDisk,sharingNone,False,FALSE,FALSE,FALSE,normal,1000,0,-1,1000,Hard disk 1,0,0,noSharing,[FS1-P-ESX-VM-04] P-APP-ORPHEUS-01/P-APP-ORPHEUS-01_6-000006.vmdk,,,vm-13340:2000,,OK,50062432-df5c-33d8-27e8-4aad04e72d59,2025-12-19 22:02:11,USFQ,USFQ-PRODUCCION,p-esx-01.usfq.edu.ec,/USFQ/vm,Oracle Linux 9 (64-bit),Oracle Linux 9 (64-bit),vm-13340,42062b3f-8dda-1718-f176-3c6bcdecaf42,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-APP-LIB-01,poweredOn,False,FALSE,Hard disk 1,2000,6000C296-83f7-0300-d994-d26411a01312,[FS1-P-ESX-VM-03] P-APP-LIB-01/P-APP-LIB-01-000007.vmdk,61440.0,FALSE,vim.vm.device.VirtualDisk,sharingNone,False,FALSE,FALSE,FALSE,normal,1000,0,-1,1000,Hard disk 1,0,0,noSharing,[FS1-P-ESX-VM-03] P-APP-LIB-01/P-APP-LIB-01-000007.vmdk,,,vm-8112:2000,,OK,5006ba79-0d39-88c2-6f03-997898cb4b3a,2025-12-19 16:04:00,USFQ,USFQ-PRODUCCION,p-esx-01.usfq.edu.ec,/USFQ/vm,Oracle Linux 9 (64-bit),Oracle Linux 9 (64-bit),vm-8112,4206672d-5230-7c90-8c07-b97ad62ae16d,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-RADFS4-03,poweredOff,False,FALSE,Hard disk 1,2000,6000C296-9f0d-987d-45d4-61a5e96e4a01,[FS1-P-ESX-VM-01] P-RADFS4-03/P-RADFS4-03-000003.vmdk,130068.48,FALSE,vim.vm.device.VirtualDisk,sharingNone,True,FALSE,FALSE,FALSE,normal,1000,0,-1,1000,Hard disk 1,0,0,noSharing,[FS1-P-ESX-VM-01] P-RADFS4-03/P-RADFS4-03-000003.vmdk,,,vm-536:2000,"Disks=000000010000000000000000,52 54 d8 32 a5 2d 97 b6-37 38 52 5e e3 d2 ee 51/1,\archpit(2078A5F2446CDFBDCA7D1DBE8BCD9472)\disk1_part1,2048,1021952,\archpit(2078A5F2446CDFBDCA7D1DBE8BCD9472)\disk1_part2,1024000,202752,\archpit(2078A5F2446CDFBDCA7D1DBE8BCD9472)\disk1_part3,1259520,265076736;
SliceId=2078A5F2-DFBD-446C-BE1D-7DCA7294CD8B
SourceArchive=C24D5E09-B3A3-5A8C-C8A2-DA838E1CFE35
",OK,52cb731e-11d7-d942-d5a9-3337a573da8c,2025-12-19 21:01:09,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm/SEGURIDAD-VM-PRODUCCION,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-536,564d2f3a-b024-1df0-dcfb-d3f2f257cda2,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-TRAPS-01,poweredOff,False,FALSE,Hard disk 1,2000,6000C294-2150-41b2-47d5-95e20d0ce255,[FS1-P-ESX-VM-01] P-TRAPS-01/P-TRAPS-01-000001.vmdk,51200.0,FALSE,vim.vm.device.VirtualDisk,sharingNone,False,FALSE,FALSE,FALSE,normal,1000,0,-1,1000,Hard disk 1,0,0,noSharing,[FS1-P-ESX-VM-01] P-TRAPS-01/P-TRAPS-01-000001.vmdk,,,vm-8072:2000,,OK,50342064-8b91-b138-5c9e-137f46d57bbe,2025-12-20 22:01:57,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm,CentOS 4/5 (64-bit),,vm-8072,4234c290-b79a-8f56-c9ef-1c5b382c3ccf,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-TRAPS-01,poweredOff,False,FALSE,Hard disk 2,2001,6000C293-04fc-6634-b9a1-cdb0578f7b36,[FS1-P-ESX-VM-01] P-TRAPS-01/P-TRAPS-01_1-000001.vmdk,512000.0,FALSE,vim.vm.device.VirtualDisk,sharingNone,False,FALSE,FALSE,FALSE,normal,1000,0,-1,1000,Hard disk 2,1,1,noSharing,[FS1-P-ESX-VM-01] P-TRAPS-01/P-TRAPS-01_1-000001.vmdk,,,vm-8072:2001,,OK,50342064-8b91-b138-5c9e-137f46d57bbe,2025-12-20 22:01:57,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm,CentOS 4/5 (64-bit),,vm-8072,4234c290-b79a-8f56-c9ef-1c5b382c3ccf,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-PROOFPOINT-02,poweredOff,False,FALSE,Hard disk 1,2000,6000C29e-6ba7-176e-62ab-6e1a8614b2b1,[FS1-P-ESX-VM-04] P-PROOFPOINT-02/P-PROOFPOINT-02-000002.vmdk,256000.0,FALSE,vim.vm.device.VirtualDisk,sharingNone,True,FALSE,FALSE,FALSE,normal,1000,0,-1,1000,Hard disk 1,0,0,noSharing,[FS1-P-ESX-VM-04] P-PROOFPOINT-02/P-PROOFPOINT-02-000002.vmdk,,,vm-8067:2000,Proofpoint Enterprise Protection,OK,5215eb2a-4094-ae35-ee88-1b0fffbc0438,2025-12-20 22:01:09,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm/SEGURIDAD-VM-PRODUCCION,CentOS 7 (64-bit),,vm-8067,564d2a30-c0b6-6b41-5d49-5abb4932dce9,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-KOVM-CLC-01,poweredOff,False,FALSE,Hard disk 1,2000,6000C299-1353-25a9-707d-f087acb917b2,[FS1-P-ESX-VM-01] P-KOVM-CLC-01/P-KOVM-CLC-01-000128.vmdk,204810.24,FALSE,vim.vm.device.VirtualDisk,sharingNone,True,FALSE,FALSE,FALSE,normal,1000,0,-1,1000,Hard disk 1,0,0,noSharing,[FS1-P-ESX-VM-01] P-KOVM-CLC-01/P-KOVM-CLC-01-000128.vmdk,,,vm-1304:2000,,OK,521c28c2-222f-2513-b127-5dab629c474f,2025-12-23 02:06:17,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm/Discovered virtual machine,Other 2.6.x Linux (64-bit),,vm-1304,564d2936-8842-d50c-fc42-11f9c87aebf3,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-KOVM-CLC-01,poweredOff,False,FALSE,Hard disk 2,2001,6000C290-32b5-7e7d-cf02-27c1640b0ca7,[FS1-P-ESX-VM-01] P-KOVM-CLC-01/P-KOVM-CLC-01_1-000128.vmdk,51210.24,FALSE,vim.vm.device.VirtualDisk,sharingNone,True,FALSE,FALSE,FALSE,normal,1000,0,-1,1000,Hard disk 2,1,1,noSharing,[FS1-P-ESX-VM-01] P-KOVM-CLC-01/P-KOVM-CLC-01_1-000128.vmdk,,,vm-1304:2001,,OK,521c28c2-222f-2513-b127-5dab629c474f,2025-12-23 02:06:17,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm/Discovered virtual machine,Other 2.6.x Linux (64-bit),,vm-1304,564d2936-8842-d50c-fc42-11f9c87aebf3,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
