VM,Powerstate,Template,SRM Placeholder,Config status,DNS Name,Connection state,Guest state,Heartbeat,Consolidation Needed,PowerOn,Suspended To Memory,Suspend time,Suspend Interval,Creation date,Change Version,CPUs,Overall Cpu Readiness,Memory,Active Memory,NICs,Disks,Total disk capacity MiB,Fixed Passthru HotPlug,min Required EVC Mode Key,Latency Sensitivity,Op Notification Timeout,EnableUUID,CBT,Primary IP Address,Network #1,Network #2,Network #3,Network #4,Network #5,Network #6,Network #7,Network #8,Num Monitors,Video Ram KiB,Resource pool,Folder ID,Folder,vApp,DAS protection,FT State,FT Role,FT Latency,FT Bandwidth,FT Sec. Latency,Vm Failover In Progress,Provisioned MiB,In Use MiB,Unshared MiB,HA Restart Priority,HA Isolation Response,HA VM Monitoring,Cluster rule(s),Cluster rule name(s),Boot Required,Boot delay,Boot retry delay,Boot retry enabled,Boot BIOS setup,Reboot PowerOff,EFI Secure boot,Firmware,HW version,HW upgrade status,HW upgrade policy,HW target,Path,Log directory,Snapshot directory,Suspend directory,Annotation,Backup status,ClusterInvariantVMMId,Last backup,Datacenter,Cluster,Host,OS according to the configuration file,OS according to the VMware Tools,Customization Info,Guest Detailed Data,VM ID,SMBIOS UUID,VM UUID,VI SDK Server type,VI SDK API Version,VI SDK Server,VI SDK UUID
dvportgroup-1646,poweredOn,False,,,,connected,running,,False,2025-11-04T05:22:05+00:00,,,0,2025-05-24 07:02:33.811633+00:00,2025-12-21T11:09:50.795783Z,4,,4096,573,1,1,122895,,,,,,,172.21.67.32,dvportgroup-1646,,,,,,,,,,Resources,group-v4,vm,,,notConfigured,,,,,,158719,47577,39291,,,,,,,0,10000,False,False,False,False,bios,vmx-21,,,,[FS1-P-ESX-VM-04] P-DLAB-01-17/P-DLAB-01-17.vmx,[FS1-P-ESX-VM-04] P-DLAB-01-17/,[FS1-P-ESX-VM-04] P-DLAB-01-17/,[FS1-P-ESX-VM-04] P-DLAB-01-17/,,,,,USFQ,USFQ-PRODUCCION,p-esx-03.usfq.edu.ec,SUSE Linux Enterprise 10 (64-bit),,,,vm-11028,4206d5f7-66b4-adef-4ce5-3bdd63464b18,4206d5f7-66b4-adef-4ce5-3bdd63464b18,VirtualCenter,8.0.2.0,https://p-vc-01.usfq.edu.ec,5006cb2d-452a-135c-be2d-74aebde77228
dvportgroup-1642,poweredOn,False,,,,connected,running,,False,2025-12-21T19:22:38.998998+00:00,,,0,2023-01-18 14:40:35.027612+00:00,2025-12-21T11:10:42.141501Z,16,,24564,1719,1,1,457843,,,,,,,172.21.161.5,dvportgroup-1642,,,,,,,,,,Resources,group-v26,Discovered virtual machine,,,notConfigured,,,,,,482536,206140,181447,,,,,,,0,10000,False,False,False,False,bios,vmx-21,,,,[FS1-P-ESX-VM-01] P-HIKCENTRAL-01/P-HIKCENTRAL-01.vmx,[FS1-P-ESX-VM-01] P-HIKCENTRAL-01/,[FS1-P-ESX-VM-01] P-HIKCENTRAL-01/,[FS1-P-ESX-VM-01] P-HIKCENTRAL-01/,,,,,USFQ,USFQ-PRODUCCION,p-esx-01.usfq.edu.ec,Microsoft Windows Server 2016 (64-bit),,,,vm-1335,42349cfc-01ec-f496-472d-4f2c4dc55702,42349cfc-01ec-f496-472d-4f2c4dc55702,VirtualCenter,8.0.2.0,https://p-vc-01.usfq.edu.ec,50344dd2-df28-1fbf-48a8-2f4b0864b105
dvportgroup-1650,poweredOn,False,,,,connected,running,,False,2025-11-04T05:05:24.998998+00:00,,,0,2025-07-30 11:07:47.418960+00:00,2025-12-21T11:08:35.321853Z,8,,8192,491,1,1,71680,,,,,,,172.21.74.113,dvportgroup-1650,,,,,,,,,,Resources,group-v4,vm,,,notConfigured,,,,,,229618,167244,109758,,,,,,,0,10000,False,False,False,True,efi,vmx-21,,,,[FS1-P-ESX-VM-04] P-APP-ORPHEUS-01/P-APP-ORPHEUS-01.vmx,[FS1-P-ESX-VM-04] P-APP-ORPHEUS-01/,[FS1-P-ESX-VM-04] P-APP-ORPHEUS-01/,[FS1-P-ESX-VM-04] P-APP-ORPHEUS-01/,,,,,USFQ,USFQ-PRODUCCION,p-esx-01.usfq.edu.ec,Oracle Linux 9 (64-bit),,,,vm-13340,42062b3f-8dda-1718-f176-3c6bcdecaf42,42062b3f-8dda-1718-f176-3c6bcdecaf42,VirtualCenter,8.0.2.0,https://p-vc-01.usfq.edu.ec,50062432-df5c-33d8-27e8-4aad04e72d59
dvportgroup-1644,poweredOn,False,,,,connected,running,,False,2025-11-04T05:05:21.998998+00:00,,,0,2025-02-28 15:41:56.707476+00:00,2025-12-21T11:07:07.279474Z,2,,8192,1392,1,1,61440,,,,,,,172.21.79.24,dvportgroup-1644,,,,,,,,,,Resources,group-v4,vm,,,notConfigured,,,,,,224720,169857,128759,,,,,,,0,10000,False,False,False,True,efi,vmx-21,,,,[FS1-P-ESX-VM-03] P-APP-LIB-01/P-APP-LIB-01.vmx,[FS1-P-ESX-VM-03] P-APP-LIB-01/,[FS1-P-ESX-VM-03] P-APP-LIB-01/,[FS1-P-ESX-VM-03] P-APP-LIB-01/,,,,,USFQ,USFQ-PRODUCCION,p-esx-01.usfq.edu.ec,Oracle Linux 9 (64-bit),,,,vm-8112,4206672d-5230-7c90-8c07-b97ad62ae16d,4206672d-5230-7c90-8c07-b97ad62ae16d,VirtualCenter,8.0.2.0,https://p-vc-01.usfq.edu.ec,5006ba79-0d39-88c2-6f03-997898cb4b3a
dvportgroup-1651,poweredOff,False,,,,connected,notRunning,,False,,,,0,2022-12-28 23:29:10.013302+00:00,2025-12-21T03:25:39.717569Z,12,,16384,0,1,1,130063,,,,,,,,dvportgroup-1651,,,,,,,,,,Resources,group-v23,SEGURIDAD-VM-PRODUCCION,,,notConfigured,,,,,,276079,148399,148385,,,,,,,0,10000,False,False,False,False,efi,vmx-21,,,,[FS1-P-ESX-VM-01] P-RADFS4-03/P-RADFS4-03.vmx,[FS1-P-ESX-VM-01] P-RADFS4-03/,[FS1-P-ESX-VM-01] P-RADFS4-03/,[FS1-P-ESX-VM-01] P-RADFS4-03/,"Disks=000000010000000000000000,52 54 d8 32 a5 2d 97 b6-37 38 52 5e e3 d2 ee 51/1,\archpit(2078A5F2446CDFBDCA7D1DBE8BCD9472)\disk1_part1,2048,1021952,\archpit(2078A5F2446CDFBDCA7D1DBE8BCD9472)\disk1_part2,1024000,202752,\archpit(2078A5F2446CDFBDCA7D1DBE8BCD9472)\disk1_part3,1259520,265076736;
SliceId=2078A5F2-DFBD-446C-BE1D-7DCA7294CD8B
SourceArchive=C24D5E09-B3A3-5A8C-C8A2-DA838E1CFE35
",,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,Microsoft Windows Server 2016 (64-bit),,,,vm-536,564d2f3a-b024-1df0-dcfb-d3f2f257cda2,564d2f3a-b024-1df0-dcfb-d3f2f257cda2,VirtualCenter,8.0.2.0,https://p-vc-01.usfq.edu.ec,52cb731e-11d7-d942-d5a9-3337a573da8c
dvportgroup-1650,poweredOff,False,,,,connected,notRunning,,False,,,,0,2023-02-24 16:29:03.964656+00:00,2025-12-21T03:25:39.673794Z,8,,16384,0,1,2,563200,,,,,,,,dvportgroup-1650,,,,,,,,,,Resources,group-v4,vm,,,notConfigured,,,,,,1144467,647074,646647,,,,,,,0,10000,False,False,False,False,bios,vmx-21,,,,[FS1-P-ESX-VM-01] P-TRAPS-01/P-TRAPS-01.vmx,[FS1-P-ESX-VM-01] P-TRAPS-01/,[FS1-P-ESX-VM-01] P-TRAPS-01/,[FS1-P-ESX-VM-01] P-TRAPS-01/,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,CentOS 4/5 (64-bit),,,,vm-8072,4234c290-b79a-8f56-c9ef-1c5b382c3ccf,4234c290-b79a-8f56-c9ef-1c5b382c3ccf,VirtualCenter,8.0.2.0,https://p-vc-01.usfq.edu.ec,50342064-8b91-b138-5c9e-137f46d57bbe
dvportgroup-1650,poweredOff,False,,,,connected,notRunning,,False,,,,0,2022-12-30 15:36:29.304781+00:00,2025-12-21T03:25:39.644619Z,8,,8192,0,1,1,256000,,,,,,,,dvportgroup-1650,,,,,,,,,,Resources,group-v23,SEGURIDAD-VM-PRODUCCION,,,notConfigured,,,,,,379602,152739,152735,,,,,,,0,10000,False,False,False,False,bios,vmx-21,,,,[FS1-P-ESX-VM-04] P-PROOFPOINT-02/P-PROOFPOINT-02.vmx,[FS1-P-ESX-VM-04] P-PROOFPOINT-02/,[FS1-P-ESX-VM-04] P-PROOFPOINT-02/,[FS1-P-ESX-VM-04] P-PROOFPOINT-02/,Proofpoint Enterprise Protection,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,CentOS 7 (64-bit),,,,vm-8067,564d2a30-c0b6-6b41-5d49-5abb4932dce9,564d2a30-c0b6-6b41-5d49-5abb4932dce9,VirtualCenter,8.0.2.0,https://p-vc-01.usfq.edu.ec,5215eb2a-4094-ae35-ee88-1b0fffbc0438
dvportgroup-1653,poweredOff,False,,,,connected,notRunning,,True,,,,0,2022-12-31 17:42:19.077535+00:00,2025-12-23T07:03:51.902678Z,4,,20480,0,1,5,409635,,,,,,,,dvportgroup-1653,,,,,,,,,,Resources,group-v26,Discovered virtual machine,,,notConfigured,,,,,,1187458,757070,757049,,,,,,,0,10000,False,False,False,False,efi,vmx-19,,,,[FS1-P-ESX-VM-01] P-KOVM-CLC-01/P-KOVM-CLC-01.vmx,[FS1-P-ESX-VM-01] P-KOVM-CLC-01/,[FS1-P-ESX-VM-01] P-KOVM-CLC-01/,[FS1-P-ESX-VM-01] P-KOVM-CLC-01/,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,Other 2.6.x Linux (64-bit),,,,vm-1304,564d2936-8842-d50c-fc42-11f9c87aebf3,564d2936-8842-d50c-fc42-11f9c87aebf3,VirtualCenter,8.0.2.0,https://p-vc-01.usfq.edu.ec,521c28c2-222f-2513-b127-5dab629c474f
dvportgroup-1647,poweredOn,False,,,,connected,running,,False,2025-05-23T21:29:27.997933+00:00,,,0,2022-12-28 18:58:51.671019+00:00,2025-12-21T02:50:10.195974Z,4,,12288,1597,1,2,81950,,,,,,,172.21.19.226,dvportgroup-1647,,,,,,,,,,Resources,group-v4,vm,,,notConfigured,,,,,,143379,78065,55299,,,,,,,200,10000,False,False,False,False,bios,vmx-19,,,,[FS1-P-ESX-VM-01] P-UCS-01/P-UCS-01.vmx,[FS1-P-ESX-VM-01] P-UCS-01/,[FS1-P-ESX-VM-01] P-UCS-01/,[FS1-P-ESX-VM-01] P-UCS-01/," Cisco UCS Central manages multiple Cisco UCS instances across globally distributed data centers, allowing IT departments to enjoy the benefits of simplified,unified management of compute, network, and storage access resource.
      ",,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,CentOS 4/5 (64-bit),,,,vm-8031,564d28ce-1d3b-aaaf-36d4-275c31b3e209,564d28ce-1d3b-aaaf-36d4-275c31b3e209,VirtualCenter,8.0.2.0,https://p-vc-01.usfq.edu.ec,52bf2b32-bf68-41f5-5100-225df275d702
dvportgroup-8452,poweredOn,False,,,,connected,running,,False,2025-11-04T04:42:02.997933+00:00,,,0,2025-03-20 02:08:46.689933+00:00,2025-12-21T02:50:10.177434Z,4,,4096,40,1,1,65536,,,,,,,,dvportgroup-8452,,,,,,,,,,Resources,group-v25,SEGURIDAD-VM-TEST,,,notConfigured,,,,,,69718,69718,65536,,,,,,,0,10000,False,False,False,False,bios,vmx-19,,,,[FS1-P-ESX-VM-03] T-ZSCALER-01/T-ZSCALER-01.vmx,[FS1-P-ESX-VM-03] T-ZSCALER-01/,[FS1-P-ESX-VM-03] T-ZSCALER-01/,[FS1-P-ESX-VM-03] T-ZSCALER-01/,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,Red Hat Enterprise Linux 9 (64-bit),,,,vm-8415,4206633d-5408-df4f-640a-c55787267672,4206633d-5408-df4f-640a-c55787267672,VirtualCenter,8.0.2.0,https://p-vc-01.usfq.edu.ec,50061686-0090-a6a0-b934-5380cab6128b
