Host,Cluster,Datacenter,Datastore,Disk,Display name,Policy,Oper. State,Path 1,Path 1 state,Path 2,Path 2 state,Path 3,Path 3 state,Path 4,Path 4 state,Path 5,Path 5 state,Path 6,Path 6 state,Path 7,Path 7 state,Path 8,Path 8 state,vStorage,Queue depth,Vendor,Model,Revision,Level,Serial #,UUID,Object ID,VI SDK Server,VI SDK UUID
p-esx-02.usfq.edu.ec,USFQ-PRODUCCION,USFQ,,02000600006005076812810438580000000000001c323134352020,,VMW_PSP_RR,,vmhba2:C0:T44:L6,standby,vmhba1:C0:T28:L6,standby,vmhba2:C0:T42:L6,active,vmhba2:C0:T46:L6,standby,vmhba1:C0:T36:L6,standby,vmhba2:C0:T40:L6,standby,vmhba1:C0:T24:L6,standby,vmhba1:C0:T40:L6,active,,,,,,,,,,,
p-esx-02.usfq.edu.ec,USFQ-PRODUCCION,USFQ,,02000700006005076812810438580000000000001e323134352020,,VMW_PSP_RR,,vmhba2:C0:T44:L7,standby,vmhba1:C0:T28:L7,standby,vmhba2:C0:T42:L7,active,vmhba2:C0:T46:L7,standby,vmhba1:C0:T36:L7,standby,vmhba2:C0:T40:L7,standby,vmhba1:C0:T24:L7,standby,vmhba1:C0:T40:L7,active,,,,,,,,,,,
p-esx-02.usfq.edu.ec,USFQ-PRODUCCION,USFQ,,020000000060050768128104385800000000000da7323134352020,,VMW_PSP_RR,,vmhba2:C0:T44:L0,standby,vmhba1:C0:T28:L0,standby,vmhba2:C0:T42:L0,active,vmhba2:C0:T46:L0,standby,vmhba1:C0:T36:L0,standby,vmhba2:C0:T40:L0,standby,vmhba1:C0:T24:L0,standby,vmhba1:C0:T40:L0,active,,,,,,,,,,,
p-esx-02.usfq.edu.ec,USFQ-PRODUCCION,USFQ,,020008000060050768128104385800000000000026323134352020,,VMW_PSP_RR,,vmhba2:C0:T44:L8,standby,vmhba1:C0:T28:L8,standby,vmhba2:C0:T42:L8,active,vmhba2:C0:T46:L8,standby,vmhba1:C0:T36:L8,standby,vmhba2:C0:T40:L8,standby,vmhba1:C0:T24:L8,standby,vmhba1:C0:T40:L8,active,,,,,,,,,,,
p-esx-02.usfq.edu.ec,USFQ-PRODUCCION,USFQ,,020000000050060160c7e035a850060160c7e035a84c554e5a2020,,VMW_PSP_MRU,,vmhba1:C0:T33:L0,standby,vmhba2:C0:T48:L0,active,vmhba2:C0:T37:L0,standby,vmhba1:C0:T41:L0,standby,,,,,,,,,,,,,,,,,,,
p-esx-02.usfq.edu.ec,USFQ-PRODUCCION,USFQ,,020001000060050768128104385800000000000001323134352020,,VMW_PSP_RR,,vmhba2:C0:T44:L1,standby,vmhba1:C0:T28:L1,standby,vmhba2:C0:T42:L1,standby,vmhba2:C0:T46:L1,standby,vmhba1:C0:T36:L1,active,vmhba2:C0:T40:L1,active,vmhba1:C0:T24:L1,standby,vmhba1:C0:T40:L1,standby,,,,,,,,,,,
p-esx-02.usfq.edu.ec,USFQ-PRODUCCION,USFQ,,020002000060050768128104385800000000000002323134352020,,VMW_PSP_RR,,vmhba2:C0:T44:L2,standby,vmhba1:C0:T28:L2,standby,vmhba2:C0:T42:L2,active,vmhba2:C0:T46:L2,standby,vmhba1:C0:T36:L2,standby,vmhba2:C0:T40:L2,standby,vmhba1:C0:T24:L2,standby,vmhba1:C0:T40:L2,active,,,,,,,,,,,
p-esx-02.usfq.edu.ec,USFQ-PRODUCCION,USFQ,,020003000060050768128104385800000000000005323134352020,,VMW_PSP_RR,,vmhba2:C0:T44:L3,standby,vmhba1:C0:T28:L3,standby,vmhba2:C0:T42:L3,standby,vmhba2:C0:T46:L3,standby,vmhba1:C0:T36:L3,active,vmhba2:C0:T40:L3,active,vmhba1:C0:T24:L3,standby,vmhba1:C0:T40:L3,standby,,,,,,,,,,,
p-esx-02.usfq.edu.ec,USFQ-PRODUCCION,USFQ,,020004000060050768128104385800000000000006323134352020,,VMW_PSP_RR,,vmhba2:C0:T44:L4,standby,vmhba1:C0:T28:L4,standby,vmhba2:C0:T42:L4,active,vmhba2:C0:T46:L4,standby,vmhba1:C0:T36:L4,standby,vmhba2:C0:T40:L4,standby,vmhba1:C0:T24:L4,standby,vmhba1:C0:T40:L4,active,,,,,,,,,,,
p-esx-02.usfq.edu.ec,USFQ-PRODUCCION,USFQ,,020005000060050768128104385800000000000007323134352020,,VMW_PSP_RR,,vmhba2:C0:T44:L5,standby,vmhba1:C0:T28:L5,standby,vmhba2:C0:T42:L5,standby,vmhba2:C0:T46:L5,standby,vmhba1:C0:T36:L5,active,vmhba2:C0:T40:L5,active,vmhba1:C0:T24:L5,standby,vmhba1:C0:T40:L5,standby,,,,,,,,,,,
p-esx-02.usfq.edu.ec,USFQ-PRODUCCION,USFQ,,020009000060050768128104385800000000036432323134352020,,VMW_PSP_RR,,vmhba2:C0:T44:L9,standby,vmhba1:C0:T28:L9,standby,vmhba2:C0:T42:L9,active,vmhba2:C0:T46:L9,standby,vmhba1:C0:T36:L9,standby,vmhba2:C0:T40:L9,standby,vmhba1:C0:T24:L9,standby,vmhba1:C0:T40:L9,active,,,,,,,,,,,
p-esx-04.usfq.edu.ec,USFQ-PRODUCCION,USFQ,,02000600006005076812810438580000000000001c323134352020,,VMW_PSP_RR,,vmhba2:C0:T44:L6,standby,vmhba1:C0:T44:L6,standby,vmhba2:C0:T48:L6,standby,vmhba1:C0:T48:L6,active,vmhba1:C0:T32:L6,standby,vmhba2:C0:T46:L6,active,vmhba1:C0:T36:L6,standby,vmhba2:C0:T50:L6,standby,,,,,,,,,,,
p-esx-04.usfq.edu.ec,USFQ-PRODUCCION,USFQ,,02000700006005076812810438580000000000001e323134352020,,VMW_PSP_RR,,vmhba2:C0:T44:L7,standby,vmhba1:C0:T44:L7,standby,vmhba2:C0:T48:L7,standby,vmhba1:C0:T48:L7,active,vmhba1:C0:T32:L7,standby,vmhba2:C0:T46:L7,active,vmhba1:C0:T36:L7,standby,vmhba2:C0:T50:L7,standby,,,,,,,,,,,
p-esx-04.usfq.edu.ec,USFQ-PRODUCCION,USFQ,,020008000060050768128104385800000000000026323134352020,,VMW_PSP_RR,,vmhba2:C0:T44:L8,standby,vmhba1:C0:T44:L8,standby,vmhba2:C0:T48:L8,standby,vmhba1:C0:T48:L8,active,vmhba1:C0:T32:L8,standby,vmhba2:C0:T46:L8,active,vmhba1:C0:T36:L8,standby,vmhba2:C0:T50:L8,standby,,,,,,,,,,,
p-esx-04.usfq.edu.ec,USFQ-PRODUCCION,USFQ,,020000000050060160c7e035a850060160c7e035a84c554e5a2020,,VMW_PSP_MRU,,vmhba1:C0:T49:L0,standby,vmhba2:C0:T52:L0,active,vmhba2:C0:T41:L0,standby,vmhba1:C0:T41:L0,standby,,,,,,,,,,,,,,,,,,,
p-esx-04.usfq.edu.ec,USFQ-PRODUCCION,USFQ,,020001000060050768128104385800000000000001323134352020,,VMW_PSP_RR,,vmhba2:C0:T44:L1,active,vmhba1:C0:T44:L1,active,vmhba2:C0:T48:L1,standby,vmhba1:C0:T48:L1,standby,vmhba1:C0:T32:L1,standby,vmhba2:C0:T46:L1,standby,vmhba1:C0:T36:L1,standby,vmhba2:C0:T50:L1,standby,,,,,,,,,,,
p-esx-04.usfq.edu.ec,USFQ-PRODUCCION,USFQ,,020002000060050768128104385800000000000002323134352020,,VMW_PSP_RR,,vmhba2:C0:T44:L2,standby,vmhba1:C0:T44:L2,standby,vmhba2:C0:T48:L2,standby,vmhba1:C0:T48:L2,active,vmhba1:C0:T32:L2,standby,vmhba2:C0:T46:L2,active,vmhba1:C0:T36:L2,standby,vmhba2:C0:T50:L2,standby,,,,,,,,,,,
p-esx-04.usfq.edu.ec,USFQ-PRODUCCION,USFQ,,020003000060050768128104385800000000000005323134352020,,VMW_PSP_RR,,vmhba2:C0:T44:L3,active,vmhba1:C0:T44:L3,active,vmhba2:C0:T48:L3,standby,vmhba1:C0:T48:L3,standby,vmhba1:C0:T32:L3,standby,vmhba2:C0:T46:L3,standby,vmhba1:C0:T36:L3,standby,vmhba2:C0:T50:L3,standby,,,,,,,,,,,
p-esx-04.usfq.edu.ec,USFQ-PRODUCCION,USFQ,,020004000060050768128104385800000000000006323134352020,,VMW_PSP_RR,,vmhba2:C0:T44:L4,standby,vmhba1:C0:T44:L4,standby,vmhba2:C0:T48:L4,standby,vmhba1:C0:T48:L4,active,vmhba1:C0:T32:L4,standby,vmhba2:C0:T46:L4,active,vmhba1:C0:T36:L4,standby,vmhba2:C0:T50:L4,standby,,,,,,,,,,,
p-esx-04.usfq.edu.ec,USFQ-PRODUCCION,USFQ,,020005000060050768128104385800000000000007323134352020,,VMW_PSP_RR,,vmhba2:C0:T44:L5,active,vmhba1:C0:T44:L5,active,vmhba2:C0:T48:L5,standby,vmhba1:C0:T48:L5,standby,vmhba1:C0:T32:L5,standby,vmhba2:C0:T46:L5,standby,vmhba1:C0:T36:L5,standby,vmhba2:C0:T50:L5,standby,,,,,,,,,,,
p-esx-04.usfq.edu.ec,USFQ-PRODUCCION,USFQ,,020000000060050768128104385800000000000dcf323134352020,,VMW_PSP_RR,,vmhba2:C0:T44:L0,standby,vmhba1:C0:T44:L0,standby,vmhba2:C0:T48:L0,standby,vmhba1:C0:T48:L0,active,vmhba1:C0:T32:L0,standby,vmhba2:C0:T46:L0,active,vmhba1:C0:T36:L0,standby,vmhba2:C0:T50:L0,standby,,,,,,,,,,,
p-esx-04.usfq.edu.ec,USFQ-PRODUCCION,USFQ,,020009000060050768128104385800000000036432323134352020,,VMW_PSP_RR,,vmhba2:C0:T44:L9,standby,vmhba1:C0:T44:L9,standby,vmhba2:C0:T48:L9,standby,vmhba1:C0:T48:L9,active,vmhba1:C0:T32:L9,standby,vmhba2:C0:T46:L9,active,vmhba1:C0:T36:L9,standby,vmhba2:C0:T50:L9,standby,,,,,,,,,,,
p-esx-01.usfq.edu.ec,USFQ-PRODUCCION,USFQ,,02000600006005076812810438580000000000001c323134352020,,VMW_PSP_RR,,vmhba2:C0:T44:L6,standby,vmhba1:C0:T28:L6,standby,vmhba2:C0:T42:L6,active,vmhba2:C0:T46:L6,standby,vmhba1:C0:T36:L6,standby,vmhba2:C0:T40:L6,standby,vmhba1:C0:T24:L6,standby,vmhba1:C0:T40:L6,active,,,,,,,,,,,
p-esx-01.usfq.edu.ec,USFQ-PRODUCCION,USFQ,,02000700006005076812810438580000000000001e323134352020,,VMW_PSP_RR,,vmhba2:C0:T44:L7,standby,vmhba1:C0:T28:L7,standby,vmhba2:C0:T42:L7,active,vmhba2:C0:T46:L7,standby,vmhba1:C0:T36:L7,standby,vmhba2:C0:T40:L7,standby,vmhba1:C0:T24:L7,standby,vmhba1:C0:T40:L7,active,,,,,,,,,,,
p-esx-01.usfq.edu.ec,USFQ-PRODUCCION,USFQ,,020008000060050768128104385800000000000026323134352020,,VMW_PSP_RR,,vmhba2:C0:T44:L8,standby,vmhba1:C0:T28:L8,standby,vmhba2:C0:T42:L8,active,vmhba2:C0:T46:L8,standby,vmhba1:C0:T36:L8,standby,vmhba2:C0:T40:L8,standby,vmhba1:C0:T24:L8,standby,vmhba1:C0:T40:L8,active,,,,,,,,,,,
p-esx-01.usfq.edu.ec,USFQ-PRODUCCION,USFQ,,020000000060050768128104385800000000000dbb323134352020,,VMW_PSP_RR,,vmhba2:C0:T44:L0,standby,vmhba1:C0:T28:L0,standby,vmhba2:C0:T42:L0,active,vmhba2:C0:T46:L0,standby,vmhba1:C0:T36:L0,standby,vmhba2:C0:T40:L0,standby,vmhba1:C0:T24:L0,standby,vmhba1:C0:T40:L0,active,,,,,,,,,,,
p-esx-01.usfq.edu.ec,USFQ-PRODUCCION,USFQ,,020000000050060160c7e035a850060160c7e035a84c554e5a2020,,VMW_PSP_MRU,,vmhba1:C0:T33:L0,standby,vmhba2:C0:T47:L0,standby,vmhba1:C0:T41:L0,standby,vmhba2:C0:T50:L0,active,,,,,,,,,,,,,,,,,,,
p-esx-01.usfq.edu.ec,USFQ-PRODUCCION,USFQ,,020001000060050768128104385800000000000001323134352020,,VMW_PSP_RR,,vmhba2:C0:T44:L1,standby,vmhba1:C0:T28:L1,standby,vmhba2:C0:T42:L1,standby,vmhba2:C0:T46:L1,standby,vmhba1:C0:T36:L1,active,vmhba2:C0:T40:L1,active,vmhba1:C0:T24:L1,standby,vmhba1:C0:T40:L1,standby,,,,,,,,,,,
p-esx-01.usfq.edu.ec,USFQ-PRODUCCION,USFQ,,020002000060050768128104385800000000000002323134352020,,VMW_PSP_RR,,vmhba2:C0:T44:L2,standby,vmhba1:C0:T28:L2,standby,vmhba2:C0:T42:L2,active,vmhba2:C0:T46:L2,standby,vmhba1:C0:T36:L2,standby,vmhba2:C0:T40:L2,standby,vmhba1:C0:T24:L2,standby,vmhba1:C0:T40:L2,active,,,,,,,,,,,
p-esx-01.usfq.edu.ec,USFQ-PRODUCCION,USFQ,,020003000060050768128104385800000000000005323134352020,,VMW_PSP_RR,,vmhba2:C0:T44:L3,standby,vmhba1:C0:T28:L3,standby,vmhba2:C0:T42:L3,standby,vmhba2:C0:T46:L3,standby,vmhba1:C0:T36:L3,active,vmhba2:C0:T40:L3,active,vmhba1:C0:T24:L3,standby,vmhba1:C0:T40:L3,standby,,,,,,,,,,,
