Host,Datacenter,Cluster,Network Device,Driver,Speed,Duplex,MAC,Switch,Uplink port,PCI,WakeOn,VI SDK Server,VI SDK UUID
p-esx-02.usfq.edu.ec,,,vmnic0,nenic,10000 Full,,00:25:b5:2a:00:1e,,,0000:67:00.0,,,
p-esx-02.usfq.edu.ec,,,vmnic1,nenic,10000 Full,,00:25:b5:2b:00:1d,,,0000:67:00.1,,,
p-esx-02.usfq.edu.ec,,,vmnic2,nenic,10000 Full,,00:25:b5:2a:00:1d,,,0000:67:00.2,,,
p-esx-02.usfq.edu.ec,,,vmnic3,nenic,10000 Full,,00:25:b5:2b:00:1f,,,0000:62:00.0,,,
p-esx-02.usfq.edu.ec,,,vmnic4,nenic,10000 Full,,00:25:b5:2a:00:1f,,,0000:62:00.1,,,
p-esx-02.usfq.edu.ec,,,vmnic5,nenic,10000 Full,,00:25:b5:2b:00:1e,,,0000:62:00.2,,,
p-esx-04.usfq.edu.ec,,,vmnic0,nenic,10000 Full,,00:25:b5:2a:00:24,,,0000:67:00.0,,,
p-esx-04.usfq.edu.ec,,,vmnic1,nenic,10000 Full,,00:25:b5:2b:00:23,,,0000:67:00.1,,,
p-esx-04.usfq.edu.ec,,,vmnic2,nenic,10000 Full,,00:25:b5:2a:00:23,,,0000:67:00.2,,,
p-esx-04.usfq.edu.ec,,,vmnic3,nenic,10000 Full,,00:25:b5:2b:00:25,,,0000:62:00.0,,,
p-esx-04.usfq.edu.ec,,,vmnic4,nenic,10000 Full,,00:25:b5:2a:00:25,,,0000:62:00.1,,,
p-esx-04.usfq.edu.ec,,,vmnic5,nenic,10000 Full,,00:25:b5:2b:00:24,,,0000:62:00.2,,,
p-esx-01.usfq.edu.ec,,,vmnic0,nenic,10000 Full,,00:25:b5:2a:00:1b,,,0000:67:00.0,,,
p-esx-01.usfq.edu.ec,,,vmnic1,nenic,10000 Full,,00:25:b5:2b:00:1a,,,0000:67:00.1,,,
p-esx-01.usfq.edu.ec,,,vmnic2,nenic,10000 Full,,00:25:b5:2a:00:1a,,,0000:67:00.2,,,
p-esx-01.usfq.edu.ec,,,vmnic3,nenic,10000 Full,,00:25:b5:2b:00:1c,,,0000:62:00.0,,,
p-esx-01.usfq.edu.ec,,,vmnic4,nenic,10000 Full,,00:25:b5:2a:00:1c,,,0000:62:00.1,,,
p-esx-01.usfq.edu.ec,,,vmnic5,nenic,10000 Full,,00:25:b5:2b:00:1b,,,0000:62:00.2,,,
