VM,Powerstate,Template,SRM Placeholder,NIC label,Adapter,Network,Switch,Connected,Starts Connected,Mac Address,Type,IPv4 Address,IPv6 Address,Direct Path IO,Internal Sort Column,Annotation,Backup status,ClusterInvariantVMMId,Last backup,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VI SDK Server,VI SDK UUID
P-DLAB-01,poweredOn,False,FALSE,Network adapter 1,vim.vm.device.VirtualVmxnet3,V-INVESTIGACION-67,USFQ-DVS,True,True,,assigned,,,,P-DLAB-01 Network adapter 1,,,5006cb2d-452a-135c-be2d-74aebde77228,,USFQ,USFQ-PRODUCCION,p-esx-03.usfq.edu.ec,/USFQ/vm,SUSE Linux Enterprise 10 (64-bit),CentOS 7 (64-bit),vm-11028,4206d5f7-66b4-adef-4ce5-3bdd63464b18,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-HIKCENTRAL-01,poweredOn,False,FALSE,Network adapter 1,vim.vm.device.VirtualE1000e,V-CAMARAS-161,USFQ-DVS,True,True,,assigned,,,,P-HIKCENTRAL-01 Network adapter 1,,,50344dd2-df28-1fbf-48a8-2f4b0864b105,,USFQ,USFQ-PRODUCCION,p-esx-01.usfq.edu.ec,/USFQ/vm/Discovered virtual machine,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2019 (64-bit),vm-1335,42349cfc-01ec-f496-472d-4f2c4dc55702,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-APP-ORPHEUS-01,poweredOn,False,FALSE,Network adapter 1,vim.vm.device.VirtualVmxnet3,V-SRV-74,USFQ-DVS,True,True,,assigned,,,,P-APP-ORPHEUS-01 Network adapter 1,,,50062432-df5c-33d8-27e8-4aad04e72d59,,USFQ,USFQ-PRODUCCION,p-esx-01.usfq.edu.ec,/USFQ/vm,Oracle Linux 9 (64-bit),Oracle Linux 9 (64-bit),vm-13340,42062b3f-8dda-1718-f176-3c6bcdecaf42,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-APP-LIB-01,poweredOn,False,FALSE,Network adapter 1,vim.vm.device.VirtualVmxnet3,V-HUBI-JAIL-79,USFQ-DVS,True,True,,assigned,,,,P-APP-LIB-01 Network adapter 1,,,5006ba79-0d39-88c2-6f03-997898cb4b3a,,USFQ,USFQ-PRODUCCION,p-esx-01.usfq.edu.ec,/USFQ/vm,Oracle Linux 9 (64-bit),Oracle Linux 9 (64-bit),vm-8112,4206672d-5230-7c90-8c07-b97ad62ae16d,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-RADFS4-03,poweredOff,False,FALSE,Network adapter 1,vim.vm.device.VirtualE1000e,V-SRV-75,USFQ-DVS,False,True,,generated,,,,P-RADFS4-03 Network adapter 1,"Disks=000000010000000000000000,52 54 d8 32 a5 2d 97 b6-37 38 52 5e e3 d2 ee 51/1,\archpit(2078A5F2446CDFBDCA7D1DBE8BCD9472)\disk1_part1,2048,1021952,\archpit(2078A5F2446CDFBDCA7D1DBE8BCD9472)\disk1_part2,1024000,202752,\archpit(2078A5F2446CDFBDCA7D1DBE8BCD9472)\disk1_part3,1259520,265076736;
SliceId=2078A5F2-DFBD-446C-BE1D-7DCA7294CD8B
SourceArchive=C24D5E09-B3A3-5A8C-C8A2-DA838E1CFE35
",,52cb731e-11d7-d942-d5a9-3337a573da8c,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm/SEGURIDAD-VM-PRODUCCION,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-536,564d2f3a-b024-1df0-dcfb-d3f2f257cda2,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-TRAPS-01,poweredOff,False,FALSE,Network adapter 1,vim.vm.device.VirtualE1000,V-SRV-74,USFQ-DVS,False,True,,assigned,,,,P-TRAPS-01 Network adapter 1,,,50342064-8b91-b138-5c9e-137f46d57bbe,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm,CentOS 4/5 (64-bit),,vm-8072,4234c290-b79a-8f56-c9ef-1c5b382c3ccf,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-PROOFPOINT-02,poweredOff,False,FALSE,Network adapter 1,vim.vm.device.VirtualE1000,V-SRV-74,USFQ-DVS,False,True,,generated,,,,P-PROOFPOINT-02 Network adapter 1,Proofpoint Enterprise Protection,,5215eb2a-4094-ae35-ee88-1b0fffbc0438,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm/SEGURIDAD-VM-PRODUCCION,CentOS 7 (64-bit),,vm-8067,564d2a30-c0b6-6b41-5d49-5abb4932dce9,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-KOVM-CLC-01,poweredOff,False,FALSE,Network adapter 1,vim.vm.device.VirtualE1000,V-SRV-BAN-85,USFQ-DVS,False,True,,generated,,,,P-KOVM-CLC-01 Network adapter 1,,,521c28c2-222f-2513-b127-5dab629c474f,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm/Discovered virtual machine,Other 2.6.x Linux (64-bit),,vm-1304,564d2936-8842-d50c-fc42-11f9c87aebf3,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-UCS-01,poweredOn,False,FALSE,Network adapter 1,vim.vm.device.VirtualE1000,V-MGMT-19,USFQ-DVS,True,True,,manual,,,,P-UCS-01 Network adapter 1," Cisco UCS Central manages multiple Cisco UCS instances across globally distributed data centers, allowing IT departments to enjoy the benefits of simplified,unified management of compute, network, and storage access resource.
      ",,52bf2b32-bf68-41f5-5100-225df275d702,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm,CentOS 4/5 (64-bit),CentOS 4/5 (64-bit),vm-8031,564d28ce-1d3b-aaaf-36d4-275c31b3e209,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
T-ZSCALER-01,poweredOn,False,FALSE,Network adapter 1,vim.vm.device.VirtualVmxnet3,V-SRV-64,USFQ-DVS,True,True,,assigned,,,,T-ZSCALER-01 Network adapter 1,,,50061686-0090-a6a0-b934-5380cab6128b,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm/SEGURIDAD-VM-TEST,Red Hat Enterprise Linux 9 (64-bit),Red Hat Enterprise Linux 9 (64-bit),vm-8415,4206633d-5408-df4f-640a-c55787267672,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
