VM,Powerstate,Template,SRM Placeholder,Disk Key,Disk,Capacity MiB,Consumed MiB,Free MiB,Free %,Internal Sort Column,Annotation,Backup status,ClusterInvariantVMMId,Last backup,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VI SDK Server,VI SDK UUID
P-DLAB-01,poweredOn,False,FALSE,disk-1,/,117822,15496,102326,86.8,1,,OK,5006cb2d-452a-135c-be2d-74aebde77228,2025-12-19 16:03:52,USFQ,USFQ-PRODUCCION,p-esx-03.usfq.edu.ec,/USFQ/vm,SUSE Linux Enterprise 10 (64-bit),CentOS 7 (64-bit),vm-11028,4206d5f7-66b4-adef-4ce5-3bdd63464b18,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-DLAB-01,poweredOn,False,FALSE,disk-2,/boot,1014,293,721,71.1,2,,OK,5006cb2d-452a-135c-be2d-74aebde77228,2025-12-19 16:03:52,USFQ,USFQ-PRODUCCION,p-esx-03.usfq.edu.ec,/USFQ/vm,SUSE Linux Enterprise 10 (64-bit),CentOS 7 (64-bit),vm-11028,4206d5f7-66b4-adef-4ce5-3bdd63464b18,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-DLAB-01,poweredOn,False,FALSE,disk-3,/opt/sentinelone/rpm_mount,117822,15496,102326,86.8,3,,OK,5006cb2d-452a-135c-be2d-74aebde77228,2025-12-19 16:03:52,USFQ,USFQ-PRODUCCION,p-esx-03.usfq.edu.ec,/USFQ/vm,SUSE Linux Enterprise 10 (64-bit),CentOS 7 (64-bit),vm-11028,4206d5f7-66b4-adef-4ce5-3bdd63464b18,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-HIKCENTRAL-01,poweredOn,False,FALSE,2000,C:\,457278,161016,296262,64.8,4,,OK,50344dd2-df28-1fbf-48a8-2f4b0864b105,2025-12-08 20:07:04,USFQ,USFQ-PRODUCCION,p-esx-01.usfq.edu.ec,/USFQ/vm/Discovered virtual machine,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2019 (64-bit),vm-1335,42349cfc-01ec-f496-472d-4f2c4dc55702,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-APP-ORPHEUS-01,poweredOn,False,FALSE,2000,/,15288,4204,11084,72.5,5,,OK,50062432-df5c-33d8-27e8-4aad04e72d59,2025-12-19 22:02:11,USFQ,USFQ-PRODUCCION,p-esx-01.usfq.edu.ec,/USFQ/vm,Oracle Linux 9 (64-bit),Oracle Linux 9 (64-bit),vm-13340,42062b3f-8dda-1718-f176-3c6bcdecaf42,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-APP-ORPHEUS-01,poweredOn,False,FALSE,2000,/var,16320,4879,11441,70.1,6,,OK,50062432-df5c-33d8-27e8-4aad04e72d59,2025-12-19 22:02:11,USFQ,USFQ-PRODUCCION,p-esx-01.usfq.edu.ec,/USFQ/vm,Oracle Linux 9 (64-bit),Oracle Linux 9 (64-bit),vm-13340,42062b3f-8dda-1718-f176-3c6bcdecaf42,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-APP-ORPHEUS-01,poweredOn,False,FALSE,2000,/home,20416,12307,8109,39.7,7,,OK,50062432-df5c-33d8-27e8-4aad04e72d59,2025-12-19 22:02:11,USFQ,USFQ-PRODUCCION,p-esx-01.usfq.edu.ec,/USFQ/vm,Oracle Linux 9 (64-bit),Oracle Linux 9 (64-bit),vm-13340,42062b3f-8dda-1718-f176-3c6bcdecaf42,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-APP-ORPHEUS-01,poweredOn,False,FALSE,2000,/tmp,5056,68,4988,98.7,8,,OK,50062432-df5c-33d8-27e8-4aad04e72d59,2025-12-19 22:02:11,USFQ,USFQ-PRODUCCION,p-esx-01.usfq.edu.ec,/USFQ/vm,Oracle Linux 9 (64-bit),Oracle Linux 9 (64-bit),vm-13340,42062b3f-8dda-1718-f176-3c6bcdecaf42,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-APP-ORPHEUS-01,poweredOn,False,FALSE,2000,/boot,960,583,377,39.3,9,,OK,50062432-df5c-33d8-27e8-4aad04e72d59,2025-12-19 22:02:11,USFQ,USFQ-PRODUCCION,p-esx-01.usfq.edu.ec,/USFQ/vm,Oracle Linux 9 (64-bit),Oracle Linux 9 (64-bit),vm-13340,42062b3f-8dda-1718-f176-3c6bcdecaf42,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-APP-ORPHEUS-01,poweredOn,False,FALSE,2000,/boot/efi,1021,7,1014,99.3,10,,OK,50062432-df5c-33d8-27e8-4aad04e72d59,2025-12-19 22:02:11,USFQ,USFQ-PRODUCCION,p-esx-01.usfq.edu.ec,/USFQ/vm,Oracle Linux 9 (64-bit),Oracle Linux 9 (64-bit),vm-13340,42062b3f-8dda-1718-f176-3c6bcdecaf42,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-APP-ORPHEUS-01,poweredOn,False,FALSE,2000,/opt/sentinelone/rpm_mount,16320,4879,11441,70.1,11,,OK,50062432-df5c-33d8-27e8-4aad04e72d59,2025-12-19 22:02:11,USFQ,USFQ-PRODUCCION,p-esx-01.usfq.edu.ec,/USFQ/vm,Oracle Linux 9 (64-bit),Oracle Linux 9 (64-bit),vm-13340,42062b3f-8dda-1718-f176-3c6bcdecaf42,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-APP-LIB-01,poweredOn,False,FALSE,2000,/,14264,4759,9505,66.6,12,,OK,5006ba79-0d39-88c2-6f03-997898cb4b3a,2025-12-19 16:04:00,USFQ,USFQ-PRODUCCION,p-esx-01.usfq.edu.ec,/USFQ/vm,Oracle Linux 9 (64-bit),Oracle Linux 9 (64-bit),vm-8112,4206672d-5230-7c90-8c07-b97ad62ae16d,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-APP-LIB-01,poweredOn,False,FALSE,2000,/var,10176,5293,4883,48.0,13,,OK,5006ba79-0d39-88c2-6f03-997898cb4b3a,2025-12-19 16:04:00,USFQ,USFQ-PRODUCCION,p-esx-01.usfq.edu.ec,/USFQ/vm,Oracle Linux 9 (64-bit),Oracle Linux 9 (64-bit),vm-8112,4206672d-5230-7c90-8c07-b97ad62ae16d,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-APP-LIB-01,poweredOn,False,FALSE,2000,/boot,960,619,341,35.5,14,,OK,5006ba79-0d39-88c2-6f03-997898cb4b3a,2025-12-19 16:04:00,USFQ,USFQ-PRODUCCION,p-esx-01.usfq.edu.ec,/USFQ/vm,Oracle Linux 9 (64-bit),Oracle Linux 9 (64-bit),vm-8112,4206672d-5230-7c90-8c07-b97ad62ae16d,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-APP-LIB-01,poweredOn,False,FALSE,2000,/tmp,4032,64,3968,98.4,15,,OK,5006ba79-0d39-88c2-6f03-997898cb4b3a,2025-12-19 16:04:00,USFQ,USFQ-PRODUCCION,p-esx-01.usfq.edu.ec,/USFQ/vm,Oracle Linux 9 (64-bit),Oracle Linux 9 (64-bit),vm-8112,4206672d-5230-7c90-8c07-b97ad62ae16d,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-APP-LIB-01,poweredOn,False,FALSE,2000,/home,22464,2640,19824,88.2,16,,OK,5006ba79-0d39-88c2-6f03-997898cb4b3a,2025-12-19 16:04:00,USFQ,USFQ-PRODUCCION,p-esx-01.usfq.edu.ec,/USFQ/vm,Oracle Linux 9 (64-bit),Oracle Linux 9 (64-bit),vm-8112,4206672d-5230-7c90-8c07-b97ad62ae16d,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-APP-LIB-01,poweredOn,False,FALSE,2000,/boot/efi,1021,7,1014,99.3,17,,OK,5006ba79-0d39-88c2-6f03-997898cb4b3a,2025-12-19 16:04:00,USFQ,USFQ-PRODUCCION,p-esx-01.usfq.edu.ec,/USFQ/vm,Oracle Linux 9 (64-bit),Oracle Linux 9 (64-bit),vm-8112,4206672d-5230-7c90-8c07-b97ad62ae16d,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-APP-LIB-01,poweredOn,False,FALSE,2000,/opt/sentinelone/rpm_mount,10176,5293,4883,48.0,18,,OK,5006ba79-0d39-88c2-6f03-997898cb4b3a,2025-12-19 16:04:00,USFQ,USFQ-PRODUCCION,p-esx-01.usfq.edu.ec,/USFQ/vm,Oracle Linux 9 (64-bit),Oracle Linux 9 (64-bit),vm-8112,4206672d-5230-7c90-8c07-b97ad62ae16d,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-UCS-01,poweredOn,False,FALSE,disk-19,/,37603,12316,25287,67.2,19," Cisco UCS Central manages multiple Cisco UCS instances across globally distributed data centers, allowing IT departments to enjoy the benefits of simplified,unified management of compute, network, and storage access resource.
      ",OK,52bf2b32-bf68-41f5-5100-225df275d702,2025-12-14 01:06:31,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm,CentOS 4/5 (64-bit),CentOS 4/5 (64-bit),vm-8031,564d28ce-1d3b-aaaf-36d4-275c31b3e209,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-UCS-01,poweredOn,False,FALSE,disk-20,/boot,98,30,68,69.4,20," Cisco UCS Central manages multiple Cisco UCS instances across globally distributed data centers, allowing IT departments to enjoy the benefits of simplified,unified management of compute, network, and storage access resource.
      ",OK,52bf2b32-bf68-41f5-5100-225df275d702,2025-12-14 01:06:31,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm,CentOS 4/5 (64-bit),CentOS 4/5 (64-bit),vm-8031,564d28ce-1d3b-aaaf-36d4-275c31b3e209,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
P-UCS-01,poweredOn,False,FALSE,disk-21,/bootflash,40309,7876,32433,80.5,21," Cisco UCS Central manages multiple Cisco UCS instances across globally distributed data centers, allowing IT departments to enjoy the benefits of simplified,unified management of compute, network, and storage access resource.
      ",OK,52bf2b32-bf68-41f5-5100-225df275d702,2025-12-14 01:06:31,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm,CentOS 4/5 (64-bit),CentOS 4/5 (64-bit),vm-8031,564d28ce-1d3b-aaaf-36d4-275c31b3e209,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
T-ZSCALER-01,poweredOn,False,FALSE,2000,/,10176,2092,8084,79.4,22,,OK,50061686-0090-a6a0-b934-5380cab6128b,2025-05-23 05:58:33,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm/SEGURIDAD-VM-TEST,Red Hat Enterprise Linux 9 (64-bit),Red Hat Enterprise Linux 9 (64-bit),vm-8415,4206633d-5408-df4f-640a-c55787267672,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
T-ZSCALER-01,poweredOn,False,FALSE,2000,/boot,536,283,253,47.2,23,,OK,50061686-0090-a6a0-b934-5380cab6128b,2025-05-23 05:58:33,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,/USFQ/vm/SEGURIDAD-VM-TEST,Red Hat Enterprise Linux 9 (64-bit),Red Hat Enterprise Linux 9 (64-bit),vm-8415,4206633d-5408-df4f-640a-c55787267672,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
