Host,Datacenter,Cluster,Port Group,Switch,VLAN,Promiscuous Mode,Mac Changes,Forged Transmits,Traffic Shaping,Width,Peak,Burst,Policy,Reverse Policy,Notify Switch,Rolling Order,Offload,TSO,Zero Copy Xmit,VI SDK Server,VI SDK UUID
p-esx-02.usfq.edu.ec,USFQ,USFQ-PRODUCCION,VMotion,VMotion,0,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
p-esx-02.usfq.edu.ec,USFQ,USFQ-PRODUCCION,V-SRV-65,vSwitch0,1265,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
p-esx-02.usfq.edu.ec,USFQ,USFQ-PRODUCCION,V-MGMT-19,vSwitch0,19,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
p-esx-02.usfq.edu.ec,USFQ,USFQ-PRODUCCION,V-SRV-76,vSwitch0,1176,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
p-esx-02.usfq.edu.ec,USFQ,USFQ-PRODUCCION,V-PUBLIC-192,vSwitch0,192,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
p-esx-02.usfq.edu.ec,USFQ,USFQ-PRODUCCION,V-SRV-77,vSwitch0,1177,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
p-esx-02.usfq.edu.ec,USFQ,USFQ-PRODUCCION,V-SRV-67,vSwitch0,1267,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
p-esx-02.usfq.edu.ec,USFQ,USFQ-PRODUCCION,V-SRV-85,vSwitch0,1085,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
p-esx-02.usfq.edu.ec,USFQ,USFQ-PRODUCCION,V-SRV-74,vSwitch0,1174,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
p-esx-02.usfq.edu.ec,USFQ,USFQ-PRODUCCION,V-SRV-75,vSwitch0,1175,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
