Host,Datacenter,Cluster,Port Group,Device,Mac Address,DHCP,IP Address,IP 6 Address,Subnet mask,Gateway,IP 6 Gateway,MTU,VI SDK Server,VI SDK UUID
p-esx-02.usfq.edu.ec,,,Management Network,vmk0,00:25:b5:2b:00:1d,,10.78.78.242,,255.255.255.0,,,1500,,
p-esx-02.usfq.edu.ec,,,VMotion,vmk1,00:50:56:66:4c:62,,10.78.78.246,,255.255.255.0,,,1500,,
p-esx-04.usfq.edu.ec,,,Management Network,vmk0,00:25:b5:2b:00:23,,10.78.78.244,,255.255.255.0,,,1500,,
p-esx-04.usfq.edu.ec,,,VMotion,vmk1,00:50:56:60:00:c2,,10.78.78.248,,255.255.255.0,,,1500,,
p-esx-01.usfq.edu.ec,,,Management Network,vmk0,00:25:b5:2b:00:1a,,10.78.78.241,,255.255.255.0,,,1500,,
p-esx-03.usfq.edu.ec,,,Management Network,vmk0,00:25:b5:2b:00:26,,10.78.78.243,,255.255.255.0,,,1500,,
p-esx-03.usfq.edu.ec,,,VMotion,vmk1,00:50:56:69:e4:6d,,10.78.78.247,,255.255.255.0,,,1500,,
s-esx-02.usfq.edu.ec,,,Management Network,vmk0,00:25:b5:6b:00:03,,10.78.78.112,,255.255.255.0,,,1500,,
s-esx-02.usfq.edu.ec,,,VMotion,vmk1,00:50:56:67:b4:46,,10.78.78.122,,255.255.255.0,,,1500,,
s-esx-01.usfq.edu.ec,,,Management Network,vmk0,00:25:b5:6b:00:00,,10.78.78.111,,255.255.0.0,,,1500,,
s-esx-01.usfq.edu.ec,,,VMotion,vmk1,00:50:56:61:2a:9e,,10.78.78.121,,255.255.255.0,,,1500,,
t-esx-01.usfq.edu.ec,,,Management Network,vmk0,00:25:b5:5b:00:00,,10.78.78.230,,255.255.255.0,,,1500,,
t-esx-01.usfq.edu.ec,,,VMotion,vmk1,00:50:56:61:a0:42,,10.78.78.235,,255.255.255.0,,,1500,,
t-esx-03.usfq.edu.ec,,,Management Network,vmk0,00:25:b5:5b:00:06,,10.78.78.233,,255.255.255.0,,,1500,,
t-esx-03.usfq.edu.ec,,,VMotion,vmk1,00:50:56:6d:d8:1b,,10.78.78.237,,255.255.255.0,,,1500,,
t-esx-02.usfq.edu.ec,,,Management Network,vmk0,00:25:b5:5b:00:03,,10.78.78.232,,255.255.255.0,,,1500,,
t-esx-02.usfq.edu.ec,,,VMotion,vmk1,00:50:56:63:8b:63,,10.78.78.236,,255.255.255.0,,,1500,,
