VM,Powerstate,Template,SRM Placeholder,VM Version,Tools,Tools Version,Required Version,Upgradeable,Upgrade Policy,Sync time,App status,Heartbeat status,Kernel Crash state,Operation Ready,State change support,Interactive Guest,Annotation,Backup status,ClusterInvariantVMMId,Last backup,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VMRef,VM ID,VM UUID,VI SDK Server,VI SDK UUID
P-DLAB-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-03.usfq.edu.ec,,,,,,,,
P-HIKCENTRAL-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-01.usfq.edu.ec,,,,,,,,
P-APP-ORPHEUS-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-01.usfq.edu.ec,,,,,,,,
P-APP-LIB-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-01.usfq.edu.ec,,,,,,,,
P-RADFS4-03,poweredOff,False,,,toolsNotRunning,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,,
P-TRAPS-01,poweredOff,False,,,toolsNotRunning,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,,
P-PROOFPOINT-02,poweredOff,False,,,toolsNotInstalled,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,,
P-KOVM-CLC-01,poweredOff,False,,,toolsNotRunning,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,,
P-UCS-01,poweredOn,False,,,toolsOld,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,,
T-ZSCALER-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,,
P-WORDPRESS-OL-02,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,,
T-THALES-TKN-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,,
P-ZB-PROXY-02,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,,
P-ZB-PROXY-OL9-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,,
P-NSS-02,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,,
T-DB-GALERA-0L95-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,,
P-HUBI-PYTHON-OLNX-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,,
P-APP-INFOREDESTI-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,,
P-ARBITRAJE-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,,
P-WORDPRESS-OL-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,,
P-IMP-GW-WAF-02,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,,
P-MONITOREO-UCS,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,,
P-ZB-PROXY-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,,
P-BAN9-APP-04,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,,
T-APP-ORPHEUS-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,,
P-ACR-CLOUD-03,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,,
T-APP-LIB-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,,
P-QUALYS-02,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,,
P-BAN9-BEPBRIM-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,,
P-KOVM-CLC-01-CLON,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,,
P-ACR-CLOUD-04,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,,
T-THALES-CTM-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,,
P-NESSUS-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,,
P-ENGINE-GIZ-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,,
P-ZB-GRAFANA-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,,
P-BAN9-BATCH-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,,
P-BAN9-APP-03,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,,
P-BAN9-ETHOS-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,,
P-NSS-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,,
P-RADIUS-02,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,,
T-FORTIDATA-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,,
P-ZB-PROXY-OL9-02,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,,
T-DB-GALERA-OL95-02,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,,
P-BIBREPO-OLNX-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,,
P-DB-GALERA-OL9-02,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,,
P-DB-GALERA-OL9-03,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,,
P-WWW4-OL-01-NEW,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,,
T-DB-GALERA-OL95-03,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,,
P-VC-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,,
P-MOODLE-OL-03,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,,
P-AD-DS-06,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,,
P-BAN9-APP-05,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,,
P-IMP-DBF-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,,
P-MINEMELDPA-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,,
P-NG-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,,
P-DB-GALERA-OL9-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,,
P-APP-PASEC-OLN-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,,
P-APP-REDCAP-OLN-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,,
P-BAN9-APP-01-CL,poweredOff,False,,,toolsNotRunning,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,,
P-GITLAB-OLNX-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,,
P-IMP-MX-WAF-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,,
P-GEOCENTRO-OLNX-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,,
P-IMP-MX-DBF-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,,
P-GI-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,,
P-ZB-FE-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,,
P-HUBI-LNX-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,,
P-BAN9-ADMP-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,,
P-RADIUS-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,,
P-BAN9-APP-02,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,,
T-APP-INFOREDESTI-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,,
P-WEBWORK-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,,
P-APP-ANSIBLE-OL9-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,,
P-NTP-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,,
P-BAN9-APP-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,,
P-FIN-MS-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,,
P-ACR-CLOUD-02,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,,
P-EDUROAM-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,,
P-WWW4-OL-01,poweredOff,False,,,toolsNotRunning,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,,
P-BAN9-SSB-01,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,,
P-IMP-GW-WAF-01A,poweredOn,False,,,toolsOk,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,,
