VM,Powerstate,Template,SRM Placeholder,Disk,Disk Key,Disk UUID,Disk Path,Capacity MiB,Raw,Disk Mode,Sharing mode,Thin,Eagerly Scrub,Split,Write Through,Level,Shares,Reservation,Limit,Controller,Label,SCSI Unit #,Unit #,Shared Bus,Path,Raw LUN ID,Raw Comp. Mode,Internal Sort Column,Annotation,Backup status,ClusterInvariantVMMId,Last backup,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VI SDK Server,VI SDK UUID
P-DLAB-01,poweredOn,False,,Hard disk 1,,,,122900.48,,vim.vm.device.VirtualDisk,,True,,,,,,,,1000,,,0,,[FS1-P-ESX-VM-04] P-DLAB-01-17/P-DLAB-01-17-000001.vmdk,,,,,,,,,,,,,,,,,
P-HIKCENTRAL-01,poweredOn,False,,Hard disk 1,,,,457840.64,,vim.vm.device.VirtualDisk,,True,,,,,,,,1000,,,0,,[FS1-P-ESX-VM-01] P-HIKCENTRAL-01/P-HIKCENTRAL-01.vmdk,,,,,,,,,,,,,,,,,
P-APP-ORPHEUS-01,poweredOn,False,,Hard disk 1,,,,71680.0,,vim.vm.device.VirtualDisk,,False,,,,,,,,1000,,,0,,[FS1-P-ESX-VM-04] P-APP-ORPHEUS-01/P-APP-ORPHEUS-01_6-000006.vmdk,,,,,,,,,,,,,,,,,
P-APP-LIB-01,poweredOn,False,,Hard disk 1,,,,61440.0,,vim.vm.device.VirtualDisk,,False,,,,,,,,1000,,,0,,[FS1-P-ESX-VM-03] P-APP-LIB-01/P-APP-LIB-01-000007.vmdk,,,,,,,,,,,,,,,,,
P-RADFS4-03,poweredOff,False,,Hard disk 1,,,,130068.48,,vim.vm.device.VirtualDisk,,True,,,,,,,,1000,,,0,,[FS1-P-ESX-VM-01] P-RADFS4-03/P-RADFS4-03-000003.vmdk,,,,,,,,,,,,,,,,,
P-TRAPS-01,poweredOff,False,,Hard disk 1,,,,51200.0,,vim.vm.device.VirtualDisk,,False,,,,,,,,1000,,,0,,[FS1-P-ESX-VM-01] P-TRAPS-01/P-TRAPS-01-000001.vmdk,,,,,,,,,,,,,,,,,
P-TRAPS-01,poweredOff,False,,Hard disk 2,,,,512000.0,,vim.vm.device.VirtualDisk,,False,,,,,,,,1000,,,1,,[FS1-P-ESX-VM-01] P-TRAPS-01/P-TRAPS-01_1-000001.vmdk,,,,,,,,,,,,,,,,,
P-PROOFPOINT-02,poweredOff,False,,Hard disk 1,,,,256000.0,,vim.vm.device.VirtualDisk,,True,,,,,,,,1000,,,0,,[FS1-P-ESX-VM-04] P-PROOFPOINT-02/P-PROOFPOINT-02-000002.vmdk,,,,,,,,,,,,,,,,,
P-KOVM-CLC-01,poweredOff,False,,Hard disk 1,,,,204810.24,,vim.vm.device.VirtualDisk,,True,,,,,,,,1000,,,0,,[FS1-P-ESX-VM-01] P-KOVM-CLC-01/P-KOVM-CLC-01-000127.vmdk,,,,,,,,,,,,,,,,,
P-KOVM-CLC-01,poweredOff,False,,Hard disk 2,,,,51210.24,,vim.vm.device.VirtualDisk,,True,,,,,,,,1000,,,1,,[FS1-P-ESX-VM-01] P-KOVM-CLC-01/P-KOVM-CLC-01_1-000127.vmdk,,,,,,,,,,,,,,,,,
P-KOVM-CLC-01,poweredOff,False,,Hard disk 3,,,,51210.24,,vim.vm.device.VirtualDisk,,True,,,,,,,,1000,,,2,,[FS1-P-ESX-VM-01] P-KOVM-CLC-01/P-KOVM-CLC-01_2-000127.vmdk,,,,,,,,,,,,,,,,,
P-KOVM-CLC-01,poweredOff,False,,Hard disk 4,,,,51210.24,,vim.vm.device.VirtualDisk,,True,,,,,,,,1000,,,3,,[FS1-P-ESX-VM-01] P-KOVM-CLC-01/P-KOVM-CLC-01_3-000127.vmdk,,,,,,,,,,,,,,,,,
P-KOVM-CLC-01,poweredOff,False,,Hard disk 5,,,,51210.24,,vim.vm.device.VirtualDisk,,True,,,,,,,,1000,,,4,,[FS1-P-ESX-VM-01] P-KOVM-CLC-01/P-KOVM-CLC-01_4-000127.vmdk,,,,,,,,,,,,,,,,,
P-UCS-01,poweredOn,False,,Hard disk 1,,,,40980.48,,vim.vm.device.VirtualDisk,,True,,,,,,,,1000,,,0,,[FS1-P-ESX-VM-01] P-UCS-01/P-UCS-01-000001.vmdk,,,,,,,,,,,,,,,,,
P-UCS-01,poweredOn,False,,Hard disk 2,,,,40980.48,,vim.vm.device.VirtualDisk,,True,,,,,,,,1000,,,1,,[FS1-P-ESX-VM-01] P-UCS-01/P-UCS-01_1-000001.vmdk,,,,,,,,,,,,,,,,,
T-ZSCALER-01,poweredOn,False,,Hard disk 1,,,,65536.0,,vim.vm.device.VirtualDisk,,False,,,,,,,,1000,,,0,,[FS1-P-ESX-VM-03] T-ZSCALER-01/T-ZSCALER-01.vmdk,,,,,,,,,,,,,,,,,
P-WORDPRESS-OL-02,poweredOn,False,,Hard disk 1,,,,102410.24,,vim.vm.device.VirtualDisk,,True,,,,,,,,1000,,,0,,[FS1-P-ESX-VM-04] P-WORDPRESS-OL-02/P-WORDPRESS-OL-02-000001.vmdk,,,,,,,,,,,,,,,,,
T-THALES-TKN-01,poweredOn,False,,Hard disk 1,,,,102400.0,,vim.vm.device.VirtualDisk,,False,,,,,,,,1000,,,0,,[FS1-P-ESX-VM-04] T-THALES-TKN-01/T-THALES-TKN-01-000001.vmdk,,,,,,,,,,,,,,,,,
P-ZB-PROXY-02,poweredOn,False,,Hard disk 1,,,,12298.24,,vim.vm.device.VirtualDisk,,True,,,,,,,,1000,,,0,,[FS1-P-ESX-VM-05] P-ZB-PROXY-02/P-ZB-PROXY-02-000001.vmdk,,,,,,,,,,,,,,,,,
P-ZB-PROXY-02,poweredOn,False,,Hard disk 2,,,,20480.0,,vim.vm.device.VirtualDisk,,True,,,,,,,,1000,,,1,,[FS1-P-ESX-VM-05] P-ZB-PROXY-02/P-ZB-PROXY-02_1.vmdk,,,,,,,,,,,,,,,,,
