Host,Datacenter,Cluster,Device,Type,Status,Bus,Pci,Driver,Model,WWN,VI SDK Server,VI SDK UUID
p-esx-02.usfq.edu.ec,USFQ,USFQ-PRODUCCION,vmhba0,vim.host.BlockHba,unknown,0,0000:00:11.5,vmw_ahci,Lewisburg SATA AHCI Controller,,,
p-esx-02.usfq.edu.ec,USFQ,USFQ-PRODUCCION,vmhba1,vim.host.FibreChannelHba,online,103,0000:67:00.3,nfnic,Cisco UCS VIC Fnic Controller,20000025b520001b/20000025b52a001b,,
p-esx-02.usfq.edu.ec,USFQ,USFQ-PRODUCCION,vmhba2,vim.host.FibreChannelHba,online,98,0000:62:00.3,nfnic,Cisco UCS VIC Fnic Controller,20000025b520001b/20000025b52b001b,,
p-esx-04.usfq.edu.ec,USFQ,USFQ-PRODUCCION,vmhba0,vim.host.BlockHba,unknown,0,0000:00:11.5,vmw_ahci,Lewisburg SATA AHCI Controller,,,
p-esx-04.usfq.edu.ec,USFQ,USFQ-PRODUCCION,vmhba1,vim.host.FibreChannelHba,online,103,0000:67:00.3,nfnic,Cisco UCS VIC Fnic Controller,20000025b520001d/20000025b52a001d,,
p-esx-04.usfq.edu.ec,USFQ,USFQ-PRODUCCION,vmhba2,vim.host.FibreChannelHba,online,98,0000:62:00.3,nfnic,Cisco UCS VIC Fnic Controller,20000025b520001d/20000025b52b001d,,
p-esx-04.usfq.edu.ec,USFQ,USFQ-PRODUCCION,vmhba3,vim.host.SerialAttachedHba,unknown,24,0000:18:00.0,lsi_mr3,MegaRAID SAS Invader Controller,,,
p-esx-01.usfq.edu.ec,USFQ,USFQ-PRODUCCION,vmhba0,vim.host.BlockHba,unknown,0,0000:00:11.5,vmw_ahci,Lewisburg SATA AHCI Controller,,,
p-esx-01.usfq.edu.ec,USFQ,USFQ-PRODUCCION,vmhba1,vim.host.FibreChannelHba,online,103,0000:67:00.3,nfnic,Cisco UCS VIC Fnic Controller,20000025b520001a/20000025b52a001a,,
p-esx-01.usfq.edu.ec,USFQ,USFQ-PRODUCCION,vmhba2,vim.host.FibreChannelHba,online,98,0000:62:00.3,nfnic,Cisco UCS VIC Fnic Controller,20000025b520001a/20000025b52b001a,,
p-esx-01.usfq.edu.ec,USFQ,USFQ-PRODUCCION,vmhba3,vim.host.SerialAttachedHba,unknown,24,0000:18:00.0,lsi_mr3,MegaRAID SAS Invader Controller,,,
p-esx-03.usfq.edu.ec,USFQ,USFQ-PRODUCCION,vmhba0,vim.host.BlockHba,unknown,0,0000:00:11.5,vmw_ahci,Lewisburg SATA AHCI Controller,,,
p-esx-03.usfq.edu.ec,USFQ,USFQ-PRODUCCION,vmhba1,vim.host.FibreChannelHba,online,103,0000:67:00.3,nfnic,Cisco UCS VIC Fnic Controller,20000025b520001e/20000025b52a001e,,
p-esx-03.usfq.edu.ec,USFQ,USFQ-PRODUCCION,vmhba2,vim.host.FibreChannelHba,online,98,0000:62:00.3,nfnic,Cisco UCS VIC Fnic Controller,20000025b520001e/20000025b52b001e,,
s-esx-02.usfq.edu.ec,USFQ,USFQ-SANDBOX,vmhba0,vim.host.FibreChannelHba,online,9,0000:09:00.0,nfnic,Cisco UCS VIC Fnic Controller,20000025b5600001/20000025b56b0001,,
s-esx-02.usfq.edu.ec,USFQ,USFQ-SANDBOX,vmhba1,vim.host.FibreChannelHba,online,17,0000:11:00.0,nfnic,Cisco UCS VIC Fnic Controller,20000025b5600001/20000025b56a0001,,
s-esx-01.usfq.edu.ec,USFQ,USFQ-SANDBOX,vmhba0,vim.host.FibreChannelHba,online,9,0000:09:00.0,nfnic,Cisco UCS VIC Fnic Controller,20000025b5600000/20000025b56b0000,,
s-esx-01.usfq.edu.ec,USFQ,USFQ-SANDBOX,vmhba1,vim.host.FibreChannelHba,online,17,0000:11:00.0,nfnic,Cisco UCS VIC Fnic Controller,20000025b5600000/20000025b56a0000,,
t-esx-01.usfq.edu.ec,USFQ,USFQ-TEST,vmhba0,vim.host.BlockHba,unknown,0,0000:00:11.5,vmw_ahci,Lewisburg SATA AHCI Controller,,,
t-esx-01.usfq.edu.ec,USFQ,USFQ-TEST,vmhba1,vim.host.FibreChannelHba,online,103,0000:67:00.3,nfnic,Cisco UCS VIC Fnic Controller,20000025b5500000/20000025b55a0000,,
t-esx-01.usfq.edu.ec,USFQ,USFQ-TEST,vmhba2,vim.host.FibreChannelHba,online,98,0000:62:00.3,nfnic,Cisco UCS VIC Fnic Controller,20000025b5500000/20000025b55b0000,,
t-esx-03.usfq.edu.ec,USFQ,USFQ-TEST,vmhba0,vim.host.FibreChannelHba,online,9,0000:09:00.0,nfnic,Cisco UCS VIC Fnic Controller,20000025b5500002/20000025b54b0034,,
t-esx-03.usfq.edu.ec,USFQ,USFQ-TEST,vmhba1,vim.host.FibreChannelHba,online,17,0000:11:00.0,nfnic,Cisco UCS VIC Fnic Controller,20000025b5500002/20000025b54a0034,,
t-esx-02.usfq.edu.ec,USFQ,USFQ-TEST,vmhba0,vim.host.BlockHba,unknown,0,0000:00:11.5,vmw_ahci,Lewisburg SATA AHCI Controller,,,
t-esx-02.usfq.edu.ec,USFQ,USFQ-TEST,vmhba1,vim.host.FibreChannelHba,online,103,0000:67:00.3,nfnic,Cisco UCS VIC Fnic Controller,20000025b5500001/20000025b55a0001,,
t-esx-02.usfq.edu.ec,USFQ,USFQ-TEST,vmhba2,vim.host.FibreChannelHba,online,98,0000:62:00.3,nfnic,Cisco UCS VIC Fnic Controller,20000025b5500001/20000025b55b0001,,
