VM,Powerstate,Template,SRM Placeholder,Config status,DNS Name,Connection state,Guest state,Heartbeat,Consolidation Needed,PowerOn,Suspended To Memory,Suspend time,Suspend Interval,Creation date,Change Version,CPUs,Overall Cpu Readiness,Memory,Active Memory,NICs,Disks,Total disk capacity MiB,Fixed Passthru HotPlug,min Required EVC Mode Key,Latency Sensitivity,Op Notification Timeout,EnableUUID,CBT,Primary IP Address,Network #1,Network #2,Network #3,Network #4,Network #5,Network #6,Network #7,Network #8,Num Monitors,Video Ram KiB,Resource pool,Folder ID,Folder,vApp,DAS protection,FT State,FT Role,FT Latency,FT Bandwidth,FT Sec. Latency,Vm Failover In Progress,Provisioned MiB,In Use MiB,Unshared MiB,HA Restart Priority,HA Isolation Response,HA VM Monitoring,Cluster rule(s),Cluster rule name(s),Boot Required,Boot delay,Boot retry delay,Boot retry enabled,Boot BIOS setup,Reboot PowerOff,EFI Secure boot,Firmware,HW version,HW upgrade status,HW upgrade policy,HW target,Path,Log directory,Snapshot directory,Suspend directory,Annotation,Backup status,ClusterInvariantVMMId,Last backup,Datacenter,Cluster,Host,OS according to the configuration file,OS according to the VMware Tools,Customization Info,Guest Detailed Data,VM ID,SMBIOS UUID,VM UUID,VI SDK Server type,VI SDK API Version,VI SDK Server,VI SDK UUID
P-DLAB-01,poweredOn,False,,,,,,,,,,,,,,4,,4096,,,,,,,,,,,172.21.67.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-03.usfq.edu.ec,CentOS 7 (64-bit),,,,,,4206d5f7-66b4-adef-4ce5-3bdd63464b18,,,,5006cb2d-452a-135c-be2d-74aebde77228
P-HIKCENTRAL-01,poweredOn,False,,,,,,,,,,,,,,16,,24564,,,,,,,,,,,172.21.161.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-01.usfq.edu.ec,Microsoft Windows Server 2019 (64-bit),,,,,,42349cfc-01ec-f496-472d-4f2c4dc55702,,,,50344dd2-df28-1fbf-48a8-2f4b0864b105
P-APP-ORPHEUS-01,poweredOn,False,,,,,,,,,,,,,,8,,8192,,,,,,,,,,,172.21.74.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-01.usfq.edu.ec,Oracle Linux 9 (64-bit),,,,,,42062b3f-8dda-1718-f176-3c6bcdecaf42,,,,50062432-df5c-33d8-27e8-4aad04e72d59
P-APP-LIB-01,poweredOn,False,,,,,,,,,,,,,,2,,8192,,,,,,,,,,,172.21.79.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-01.usfq.edu.ec,Oracle Linux 9 (64-bit),,,,,,4206672d-5230-7c90-8c07-b97ad62ae16d,,,,5006ba79-0d39-88c2-6f03-997898cb4b3a
P-RADFS4-03,poweredOff,False,,,,,,,,,,,,,,12,,16384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,Microsoft Windows Server 2016 (64-bit),,,,,,564d2f3a-b024-1df0-dcfb-d3f2f257cda2,,,,52cb731e-11d7-d942-d5a9-3337a573da8c
P-TRAPS-01,poweredOff,False,,,,,,,,,,,,,,8,,16384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,centos64Guest,,,,,,4234c290-b79a-8f56-c9ef-1c5b382c3ccf,,,,50342064-8b91-b138-5c9e-137f46d57bbe
P-PROOFPOINT-02,poweredOff,False,,,,,,,,,,,,,,8,,8192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,centos7_64Guest,,,,,,564d2a30-c0b6-6b41-5d49-5abb4932dce9,,,,5215eb2a-4094-ae35-ee88-1b0fffbc0438
P-KOVM-CLC-01,poweredOff,False,,,,,,,,,,,,,,4,,20480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,other26xLinux64Guest,,,,,,564d2936-8842-d50c-fc42-11f9c87aebf3,,,,521c28c2-222f-2513-b127-5dab629c474f
P-UCS-01,poweredOn,False,,,,,,,,,,,,,,4,,12288,,,,,,,,,,,172.21.19.226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,CentOS 4/5 (64-bit),,,,,,564d28ce-1d3b-aaaf-36d4-275c31b3e209,,,,52bf2b32-bf68-41f5-5100-225df275d702
T-ZSCALER-01,poweredOn,False,,,,,,,,,,,,,,4,,4096,,,,,,,,,,,fe80::33f0:53a4:9891:35a2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,Red Hat Enterprise Linux 9 (64-bit),,,,,,4206633d-5408-df4f-640a-c55787267672,,,,50061686-0090-a6a0-b934-5380cab6128b
