VM,Powerstate,Template,SRM Placeholder,NIC label,Adapter,Network,Switch,Connected,Starts Connected,Mac Address,Type,IPv4 Address,IPv6 Address,Direct Path IO,Internal Sort Column,Annotation,Backup status,ClusterInvariantVMMId,Last backup,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VI SDK Server,VI SDK UUID
P-DLAB-01,poweredOn,False,,,Network adapter 1,V-INVESTIGACION-67,,True,True,00:50:56:86:a8:2e,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-03.usfq.edu.ec,,,,,,,
P-HIKCENTRAL-01,poweredOn,False,,,Network adapter 1,V-CAMARAS-161,,True,True,00:50:56:b4:a4:30,vim.vm.device.VirtualE1000e,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-01.usfq.edu.ec,,,,,,,
P-APP-ORPHEUS-01,poweredOn,False,,,Network adapter 1,V-SRV-74,,True,True,00:50:56:86:99:8b,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-01.usfq.edu.ec,,,,,,,
P-APP-LIB-01,poweredOn,False,,,Network adapter 1,V-HUBI-JAIL-79,,True,True,00:50:56:86:b3:fb,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-01.usfq.edu.ec,,,,,,,
P-RADFS4-03,poweredOff,False,,,Network adapter 1,V-SRV-75,,False,True,00:0C:29:57:CD:A2,vim.vm.device.VirtualE1000e,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,
P-TRAPS-01,poweredOff,False,,,Network adapter 1,V-SRV-74,,False,True,00:50:56:b4:0e:04,vim.vm.device.VirtualE1000,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,
P-PROOFPOINT-02,poweredOff,False,,,Network adapter 1,V-SRV-74,,False,True,00:0c:29:32:dc:e9,vim.vm.device.VirtualE1000,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,
P-KOVM-CLC-01,poweredOff,False,,,Network adapter 1,V-SRV-BAN-85,,False,True,00:0c:29:7a:eb:f3,vim.vm.device.VirtualE1000,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,
P-UCS-01,poweredOn,False,,,Network adapter 1,V-MGMT-19,,True,True,00:50:56:98:74:80,vim.vm.device.VirtualE1000,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,
T-ZSCALER-01,poweredOn,False,,,Network adapter 1,V-SRV-64,,True,True,00:50:56:86:25:88,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-04.usfq.edu.ec,,,,,,,
