VM,Powerstate,Template,SRM Placeholder,Disk Key,Disk,Capacity MiB,Consumed MiB,Free MiB,Free %,Internal Sort Column,Annotation,Backup status,ClusterInvariantVMMId,Last backup,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VI SDK Server,VI SDK UUID
P-DLAB-01,poweredOn,False,,,/,117822,15496,102326,86.8,,,,,,USFQ,USFQ-PRODUCCION,p-esx-03.usfq.edu.ec,,,,,,,
P-DLAB-01,poweredOn,False,,,/boot,1014,293,721,71.1,,,,,,USFQ,USFQ-PRODUCCION,p-esx-03.usfq.edu.ec,,,,,,,
P-DLAB-01,poweredOn,False,,,/opt/sentinelone/rpm_mount,117822,15496,102326,86.8,,,,,,USFQ,USFQ-PRODUCCION,p-esx-03.usfq.edu.ec,,,,,,,
P-HIKCENTRAL-01,poweredOn,False,,,C:\,457278,162154,295124,64.5,,,,,,USFQ,USFQ-PRODUCCION,p-esx-01.usfq.edu.ec,,,,,,,
P-APP-ORPHEUS-01,poweredOn,False,,,/,15288,4206,11082,72.5,,,,,,USFQ,USFQ-PRODUCCION,p-esx-01.usfq.edu.ec,,,,,,,
P-APP-ORPHEUS-01,poweredOn,False,,,/var,16320,4768,11552,70.8,,,,,,USFQ,USFQ-PRODUCCION,p-esx-01.usfq.edu.ec,,,,,,,
P-APP-ORPHEUS-01,poweredOn,False,,,/home,20416,12256,8160,40.0,,,,,,USFQ,USFQ-PRODUCCION,p-esx-01.usfq.edu.ec,,,,,,,
P-APP-ORPHEUS-01,poweredOn,False,,,/tmp,5056,68,4988,98.7,,,,,,USFQ,USFQ-PRODUCCION,p-esx-01.usfq.edu.ec,,,,,,,
P-APP-ORPHEUS-01,poweredOn,False,,,/boot,960,583,377,39.3,,,,,,USFQ,USFQ-PRODUCCION,p-esx-01.usfq.edu.ec,,,,,,,
P-APP-ORPHEUS-01,poweredOn,False,,,/boot/efi,1021,7,1014,99.3,,,,,,USFQ,USFQ-PRODUCCION,p-esx-01.usfq.edu.ec,,,,,,,
P-APP-ORPHEUS-01,poweredOn,False,,,/opt/sentinelone/rpm_mount,16320,4768,11552,70.8,,,,,,USFQ,USFQ-PRODUCCION,p-esx-01.usfq.edu.ec,,,,,,,
P-APP-LIB-01,poweredOn,False,,,/,14264,4759,9505,66.6,,,,,,USFQ,USFQ-PRODUCCION,p-esx-01.usfq.edu.ec,,,,,,,
P-APP-LIB-01,poweredOn,False,,,/var,10176,5293,4883,48.0,,,,,,USFQ,USFQ-PRODUCCION,p-esx-01.usfq.edu.ec,,,,,,,
P-APP-LIB-01,poweredOn,False,,,/boot,960,619,341,35.5,,,,,,USFQ,USFQ-PRODUCCION,p-esx-01.usfq.edu.ec,,,,,,,
P-APP-LIB-01,poweredOn,False,,,/tmp,4032,64,3968,98.4,,,,,,USFQ,USFQ-PRODUCCION,p-esx-01.usfq.edu.ec,,,,,,,
P-APP-LIB-01,poweredOn,False,,,/home,22464,2640,19824,88.2,,,,,,USFQ,USFQ-PRODUCCION,p-esx-01.usfq.edu.ec,,,,,,,
